W0430 12:48:13.811000 5784 site-packages/torch/distributed/run.py:851] 
W0430 12:48:13.811000 5784 site-packages/torch/distributed/run.py:851] *****************************************
W0430 12:48:13.811000 5784 site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0430 12:48:13.811000 5784 site-packages/torch/distributed/run.py:851] *****************************************
DDP mode: ignoring train.use_data_parallel from config.
dataset storage train: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_train/chunk_1024/index.json | chunks = 116 | samples = 118287 | chunk_size = 1024
dataset storage val: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_val/chunk_1024/index.json | chunks = 5 | samples = 5000 | chunk_size = 1024
/home/lidz/miniconda3/envs/yolov1/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
DDP configured global batch size: 128
DDP per-rank batch size: 16
DDP effective global batch size: 128
DDP configured workers: 64
DDP per-rank workers: 8
starting yolov0 DDP training
run id: dual_scale_three_box_coco_only_noobj1_416_ddp_20260430_124818
device: cuda:0
backend: nccl
world size: 8
train dataset length: 118287
val dataset length: 5000
model output shape: {'p4': (1, 26, 26, 255), 'p5': (1, 13, 13, 255)}
parameter total: 36531294
parameter trainable: 36531294
tensorboard dir: runs/dual_scale_three_box_coco_only_noobj1_416_ddp_20260430_124818
output dir: outputs/dual_scale_three_box_coco_only_noobj1_416_ddp_20260430_124818
epoch 001 | step 0001 | total = 11.5321 | box = 1.4103 | obj = 3.0517 | cls = 1.4287 | lr = 0.001000
epoch 001 | step 0020 | total = 8.2772 | box = 1.1832 | obj = 2.1908 | cls = 0.1705 | lr = 0.001000
epoch 001 | step 0040 | total = 7.7680 | box = 1.1299 | obj = 2.0354 | cls = 0.0829 | lr = 0.001000
epoch 001 | step 0060 | total = 7.9633 | box = 1.1789 | obj = 1.9996 | cls = 0.0691 | lr = 0.001000
epoch 001 | step 0080 | total = 8.0940 | box = 1.2219 | obj = 1.9186 | cls = 0.0660 | lr = 0.001000
epoch 001 | step 0100 | total = 7.7133 | box = 1.1571 | obj = 1.8704 | cls = 0.0571 | lr = 0.001000
epoch 001 | step 0120 | total = 7.9809 | box = 1.1939 | obj = 1.9526 | cls = 0.0590 | lr = 0.001000
epoch 001 | step 0140 | total = 7.1084 | box = 0.9961 | obj = 2.0652 | cls = 0.0626 | lr = 0.001000
epoch 001 | step 0160 | total = 7.2439 | box = 1.0190 | obj = 2.0774 | cls = 0.0715 | lr = 0.001000
epoch 001 | step 0180 | total = 7.2002 | box = 1.0186 | obj = 2.0394 | cls = 0.0677 | lr = 0.001000
epoch 001 | step 0200 | total = 7.1349 | box = 1.0002 | obj = 2.0686 | cls = 0.0651 | lr = 0.001000
epoch 001 | step 0220 | total = 6.7774 | box = 0.9232 | obj = 2.0934 | cls = 0.0681 | lr = 0.001000
epoch 001 | step 0240 | total = 7.5217 | box = 1.1155 | obj = 1.8830 | cls = 0.0612 | lr = 0.001000
epoch 001 | step 0260 | total = 7.2925 | box = 1.0593 | obj = 1.9358 | cls = 0.0602 | lr = 0.001000
epoch 001 | step 0280 | total = 7.6492 | box = 1.1322 | obj = 1.9358 | cls = 0.0524 | lr = 0.001000
