W0501 02:47:59.021000 137994 site-packages/torch/distributed/run.py:851] 
W0501 02:47:59.021000 137994 site-packages/torch/distributed/run.py:851] *****************************************
W0501 02:47:59.021000 137994 site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0501 02:47:59.021000 137994 site-packages/torch/distributed/run.py:851] *****************************************
DDP mode: ignoring train.use_data_parallel from config.
dataset storage train: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_train/chunk_1024/index.json | chunks = 116 | samples = 118287 | chunk_size = 1024
dataset storage val: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_val/chunk_1024/index.json | chunks = 5 | samples = 5000 | chunk_size = 1024
/home/lidz/miniconda3/envs/yolov1/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
DDP configured global batch size: 128
DDP per-rank batch size: 16
DDP effective global batch size: 128
DDP configured workers: 64
DDP per-rank workers: 8
starting yolov0 DDP training
run id: dual_scale_three_box_coco_only_noobj1_416_k6_ddp_20260501_024802
device: cuda:0
backend: nccl
world size: 8
train dataset length: 118287
val dataset length: 5000
model output shape: {'p4': (1, 26, 26, 255), 'p5': (1, 13, 13, 255)}
parameter total: 36531294
parameter trainable: 36531294
tensorboard dir: runs/dual_scale_three_box_coco_only_noobj1_416_k6_ddp_20260501_024802
output dir: outputs/dual_scale_three_box_coco_only_noobj1_416_k6_ddp_20260501_024802
epoch 001 | step 0001 | total = 11.6203 | box = 1.4262 | obj = 3.0667 | cls = 1.4226 | lr = 0.001000
epoch 001 | step 0020 | total = 8.1285 | box = 1.1492 | obj = 2.1814 | cls = 0.2010 | lr = 0.001000
epoch 001 | step 0040 | total = 7.7949 | box = 1.1349 | obj = 2.0396 | cls = 0.0809 | lr = 0.001000
epoch 001 | step 0060 | total = 7.8240 | box = 1.1427 | obj = 2.0378 | cls = 0.0724 | lr = 0.001000
epoch 001 | step 0080 | total = 8.1217 | box = 1.2283 | obj = 1.9172 | cls = 0.0630 | lr = 0.001000
epoch 001 | step 0100 | total = 7.8476 | box = 1.1856 | obj = 1.8594 | cls = 0.0600 | lr = 0.001000
epoch 001 | step 0120 | total = 7.9047 | box = 1.1683 | obj = 2.0054 | cls = 0.0577 | lr = 0.001000
epoch 001 | step 0140 | total = 7.3010 | box = 1.0373 | obj = 2.0529 | cls = 0.0616 | lr = 0.001000
epoch 001 | step 0160 | total = 7.2858 | box = 1.0308 | obj = 2.0600 | cls = 0.0720 | lr = 0.001000
epoch 001 | step 0180 | total = 7.4052 | box = 1.0323 | obj = 2.1766 | cls = 0.0670 | lr = 0.001000
epoch 001 | step 0200 | total = 7.0218 | box = 0.9833 | obj = 2.0413 | cls = 0.0638 | lr = 0.001000
epoch 001 | step 0220 | total = 6.8129 | box = 0.9444 | obj = 2.0244 | cls = 0.0665 | lr = 0.001000
epoch 001 | step 0240 | total = 7.4230 | box = 1.0926 | obj = 1.8972 | cls = 0.0629 | lr = 0.001000
epoch 001 | step 0260 | total = 7.2036 | box = 1.0427 | obj = 1.9305 | cls = 0.0597 | lr = 0.001000
epoch 001 | step 0280 | total = 7.6368 | box = 1.1296 | obj = 1.9354 | cls = 0.0534 | lr = 0.001000
epoch 001 | step 0300 | total = 8.0332 | box = 1.2295 | obj = 1.8287 | cls = 0.0571 | lr = 0.001000
epoch 001 | step 0320 | total = 7.2644 | box = 1.0416 | obj = 1.9970 | cls = 0.0593 | lr = 0.001000
epoch 001 | step 0340 | total = 7.0777 | box = 0.9941 | obj = 2.0446 | cls = 0.0628 | lr = 0.001000
epoch 001 | step 0360 | total = 7.4633 | box = 1.0977 | obj = 1.9204 | cls = 0.0544 | lr = 0.001000
epoch 001 | step 0380 | total = 6.5578 | box = 0.8985 | obj = 1.9902 | cls = 0.0750 | lr = 0.001000
epoch 001 | step 0400 | total = 6.6802 | box = 0.9137 | obj = 2.0431 | cls = 0.0684 | lr = 0.001000
epoch 001 | step 0420 | total = 7.5576 | box = 1.1104 | obj = 1.9483 | cls = 0.0572 | lr = 0.001000
epoch 001 | step 0440 | total = 7.0686 | box = 1.0280 | obj = 1.8654 | cls = 0.0633 | lr = 0.001000
epoch 001 | step 0460 | total = 7.7864 | box = 1.1914 | obj = 1.7778 | cls = 0.0516 | lr = 0.001000
epoch 001 | step 0480 | total = 7.6728 | box = 1.1605 | obj = 1.8187 | cls = 0.0514 | lr = 0.001000
epoch 001 | step 0500 | total = 7.3190 | box = 1.0797 | obj = 1.8657 | cls = 0.0548 | lr = 0.001000
epoch 001 | step 0520 | total = 7.0791 | box = 0.9995 | obj = 2.0177 | cls = 0.0638 | lr = 0.001000
epoch 001 | step 0540 | total = 6.8502 | box = 0.9644 | obj = 1.9633 | cls = 0.0651 | lr = 0.001000
epoch 001 | step 0560 | total = 6.6202 | box = 0.9108 | obj = 2.0085 | cls = 0.0578 | lr = 0.001000
epoch 001 | step 0580 | total = 7.5735 | box = 1.1458 | obj = 1.7913 | cls = 0.0529 | lr = 0.001000
epoch 001 | step 0600 | total = 7.5563 | box = 1.1246 | obj = 1.8830 | cls = 0.0505 | lr = 0.001000
epoch 001 | step 0620 | total = 6.9272 | box = 0.9698 | obj = 2.0220 | cls = 0.0561 | lr = 0.001000
epoch 001 | step 0640 | total = 6.3434 | box = 0.8721 | obj = 1.9283 | cls = 0.0547 | lr = 0.001000
epoch 001 | step 0660 | total = 6.7596 | box = 0.9516 | obj = 1.9419 | cls = 0.0597 | lr = 0.001000
epoch 001 | step 0680 | total = 6.5133 | box = 0.8879 | obj = 2.0081 | cls = 0.0655 | lr = 0.001000
epoch 001 | step 0700 | total = 6.6552 | box = 0.9168 | obj = 2.0124 | cls = 0.0587 | lr = 0.001000
epoch 001 | step 0720 | total = 6.9581 | box = 0.9897 | obj = 1.9494 | cls = 0.0599 | lr = 0.001000
epoch 001 | step 0740 | total = 6.5976 | box = 0.9345 | obj = 1.8656 | cls = 0.0594 | lr = 0.001000
epoch 001 | step 0760 | total = 6.4531 | box = 0.8951 | obj = 1.9086 | cls = 0.0688 | lr = 0.001000
epoch 001 | step 0780 | total = 6.4659 | box = 0.8716 | obj = 2.0428 | cls = 0.0652 | lr = 0.001000
epoch 001 | step 0800 | total = 5.5387 | box = 0.7127 | obj = 1.8976 | cls = 0.0774 | lr = 0.001000
epoch 001 | step 0820 | total = 6.3406 | box = 0.8442 | obj = 2.0528 | cls = 0.0666 | lr = 0.001000
epoch 001 | step 0840 | total = 5.9720 | box = 0.7515 | obj = 2.1393 | cls = 0.0754 | lr = 0.001000
epoch 001 | step 0860 | total = 6.3011 | box = 0.8886 | obj = 1.8063 | cls = 0.0517 | lr = 0.001000
epoch 001 | step 0880 | total = 6.1150 | box = 0.7860 | obj = 2.1197 | cls = 0.0651 | lr = 0.001000
epoch 001 | step 0900 | total = 6.6439 | box = 0.9437 | obj = 1.8777 | cls = 0.0478 | lr = 0.001000
epoch 001 | step 0920 | total = 6.9687 | box = 1.0058 | obj = 1.8871 | cls = 0.0527 | lr = 0.001000
[epoch 001 train] total = 7.1912 | box = 1.0334 | obj = 1.9493 | cls = 0.0747 | steps = 925 | global_batches = 7400 | samples = 118288 | time = 807.6s
[epoch 001 val] total = 6.6748 | box = 0.9453 | obj = 1.8905 | cls = 0.0579 | steps = 40 | global_batches = 320 | samples = 5000 | time = 20.4s
epoch 002 | step 0001 | total = 6.2250 | box = 0.8484 | obj = 1.9280 | cls = 0.0551 | lr = 0.000997
epoch 002 | step 0020 | total = 6.2589 | box = 0.8670 | obj = 1.8725 | cls = 0.0514 | lr = 0.000997
epoch 002 | step 0040 | total = 7.0571 | box = 1.0213 | obj = 1.8955 | cls = 0.0548 | lr = 0.000997
