W0501 14:04:13.274000 248527 site-packages/torch/distributed/run.py:851] 
W0501 14:04:13.274000 248527 site-packages/torch/distributed/run.py:851] *****************************************
W0501 14:04:13.274000 248527 site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0501 14:04:13.274000 248527 site-packages/torch/distributed/run.py:851] *****************************************
DDP mode: ignoring train.use_data_parallel from config.
dataset storage train: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_train/chunk_1024/index.json | chunks = 116 | samples = 118287 | chunk_size = 1024
dataset storage val: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_val/chunk_1024/index.json | chunks = 5 | samples = 5000 | chunk_size = 1024
/home/lidz/miniconda3/envs/yolov1/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
DDP configured global batch size: 128
DDP per-rank batch size: 16
DDP effective global batch size: 128
DDP configured workers: 64
DDP per-rank workers: 8
starting yolov0 DDP training
run id: dual_scale_three_box_coco_only_noobj1_416_p3p4p5_k9_ddp_20260501_140417
device: cuda:0
backend: nccl
world size: 8
train dataset length: 118287
val dataset length: 5000
model output shape: {'p3': (1, 52, 52, 255), 'p4': (1, 26, 26, 255), 'p5': (1, 13, 13, 255)}
parameter total: 41451613
parameter trainable: 41451613
tensorboard dir: runs/dual_scale_three_box_coco_only_noobj1_416_p3p4p5_k9_ddp_20260501_140417
output dir: outputs/dual_scale_three_box_coco_only_noobj1_416_p3p4p5_k9_ddp_20260501_140417
epoch 001 | step 0001 | total = 16.6364 | box = 2.0739 | obj = 4.1024 | cls = 2.1644 | lr = 0.001000
epoch 001 | step 0020 | total = 12.1921 | box = 1.7601 | obj = 3.0633 | cls = 0.3282 | lr = 0.001000
epoch 001 | step 0040 | total = 11.0468 | box = 1.5680 | obj = 3.0795 | cls = 0.1273 | lr = 0.001000
epoch 001 | step 0060 | total = 11.6989 | box = 1.6914 | obj = 3.1199 | cls = 0.1221 | lr = 0.001000
epoch 001 | step 0080 | total = 12.1183 | box = 1.8213 | obj = 2.9140 | cls = 0.0976 | lr = 0.001000
epoch 001 | step 0100 | total = 11.3738 | box = 1.6830 | obj = 2.8681 | cls = 0.0905 | lr = 0.001000
epoch 001 | step 0120 | total = 11.6617 | box = 1.7174 | obj = 2.9866 | cls = 0.0880 | lr = 0.001000
epoch 001 | step 0140 | total = 10.6026 | box = 1.4913 | obj = 3.0510 | cls = 0.0953 | lr = 0.001000
epoch 001 | step 0160 | total = 10.5381 | box = 1.4607 | obj = 3.1224 | cls = 0.1122 | lr = 0.001000
epoch 001 | step 0180 | total = 10.5128 | box = 1.4516 | obj = 3.1467 | cls = 0.1080 | lr = 0.001000
epoch 001 | step 0200 | total = 10.3726 | box = 1.4413 | obj = 3.0668 | cls = 0.0991 | lr = 0.001000
epoch 001 | step 0220 | total = 9.9935 | box = 1.3390 | obj = 3.1940 | cls = 0.1047 | lr = 0.001000
epoch 001 | step 0240 | total = 10.6654 | box = 1.5405 | obj = 2.8649 | cls = 0.0981 | lr = 0.001000
epoch 001 | step 0260 | total = 10.5483 | box = 1.4956 | obj = 2.9780 | cls = 0.0924 | lr = 0.001000
epoch 001 | step 0280 | total = 10.7682 | box = 1.5498 | obj = 2.9342 | cls = 0.0852 | lr = 0.001000
epoch 001 | step 0300 | total = 11.0783 | box = 1.6286 | obj = 2.8373 | cls = 0.0980 | lr = 0.001000
epoch 001 | step 0320 | total = 10.2382 | box = 1.4182 | obj = 3.0524 | cls = 0.0947 | lr = 0.001000
epoch 001 | step 0340 | total = 10.0767 | box = 1.3872 | obj = 3.0425 | cls = 0.0983 | lr = 0.001000
epoch 001 | step 0360 | total = 10.4852 | box = 1.4926 | obj = 2.9340 | cls = 0.0882 | lr = 0.001000
epoch 001 | step 0380 | total = 9.4949 | box = 1.2664 | obj = 3.0448 | cls = 0.1180 | lr = 0.001000
epoch 001 | step 0400 | total = 9.4092 | box = 1.2610 | obj = 2.9984 | cls = 0.1058 | lr = 0.001000
epoch 001 | step 0420 | total = 10.8394 | box = 1.5681 | obj = 2.9075 | cls = 0.0911 | lr = 0.001000
