W0502 14:18:48.360000 441538 site-packages/torch/distributed/run.py:851] 
W0502 14:18:48.360000 441538 site-packages/torch/distributed/run.py:851] *****************************************
W0502 14:18:48.360000 441538 site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0502 14:18:48.360000 441538 site-packages/torch/distributed/run.py:851] *****************************************
DDP mode: ignoring train.use_data_parallel from config.
dataset storage train: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_train/chunk_1024/index.json | chunks = 116 | samples = 118287 | chunk_size = 1024
dataset storage val: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_val/chunk_1024/index.json | chunks = 5 | samples = 5000 | chunk_size = 1024
/home/lidz/miniconda3/envs/yolov1/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
DDP configured global batch size: 128
DDP per-rank batch size: 16
DDP effective global batch size: 128
DDP configured workers: 64
DDP per-rank workers: 8
starting yolov0 DDP training
run id: dual_scale_three_box_coco_only_noobj1_416_p3p4p5_k9_scaleaware_ddp_20260502_141852
device: cuda:0
backend: nccl
world size: 8
train dataset length: 118287
val dataset length: 5000
model output shape: {'p3': (1, 52, 52, 255), 'p4': (1, 26, 26, 255), 'p5': (1, 13, 13, 255)}
parameter total: 41451613
parameter trainable: 41451613
tensorboard dir: runs/dual_scale_three_box_coco_only_noobj1_416_p3p4p5_k9_scaleaware_ddp_20260502_141852
output dir: outputs/dual_scale_three_box_coco_only_noobj1_416_p3p4p5_k9_scaleaware_ddp_20260502_141852
epoch 001 | step 0001 | total = 12.7988 | box = 1.2772 | obj = 4.2180 | cls = 2.1948 | lr = 0.001000
epoch 001 | step 0020 | total = 9.7541 | box = 1.1206 | obj = 3.7133 | cls = 0.4378 | lr = 0.001000
epoch 001 | step 0040 | total = 9.0106 | box = 1.1079 | obj = 3.3303 | cls = 0.1406 | lr = 0.001000
epoch 001 | step 0060 | total = 9.4890 | box = 1.2044 | obj = 3.3293 | cls = 0.1378 | lr = 0.001000
epoch 001 | step 0080 | total = 9.5813 | box = 1.2195 | obj = 3.3616 | cls = 0.1221 | lr = 0.001000
epoch 001 | step 0100 | total = 8.8570 | box = 1.1110 | obj = 3.1847 | cls = 0.1173 | lr = 0.001000
epoch 001 | step 0120 | total = 9.2987 | box = 1.1676 | obj = 3.3364 | cls = 0.1244 | lr = 0.001000
epoch 001 | step 0140 | total = 8.6362 | box = 1.0469 | obj = 3.2882 | cls = 0.1134 | lr = 0.001000
epoch 001 | step 0160 | total = 8.5815 | box = 1.0372 | obj = 3.2681 | cls = 0.1272 | lr = 0.001000
epoch 001 | step 0180 | total = 8.2548 | box = 0.9953 | obj = 3.1566 | cls = 0.1220 | lr = 0.001000
epoch 001 | step 0200 | total = 8.0016 | box = 0.9438 | obj = 3.1690 | cls = 0.1135 | lr = 0.001000
epoch 001 | step 0220 | total = 8.0195 | box = 0.9108 | obj = 3.3511 | cls = 0.1144 | lr = 0.001000
epoch 001 | step 0240 | total = 8.0241 | box = 0.9916 | obj = 2.9373 | cls = 0.1286 | lr = 0.001000
epoch 001 | step 0260 | total = 8.2628 | box = 1.0041 | obj = 3.1313 | cls = 0.1108 | lr = 0.001000
epoch 001 | step 0280 | total = 7.8865 | box = 0.8969 | obj = 3.2864 | cls = 0.1154 | lr = 0.001000
epoch 001 | step 0300 | total = 8.4295 | box = 1.0616 | obj = 3.0028 | cls = 0.1185 | lr = 0.001000
epoch 001 | step 0320 | total = 7.9323 | box = 0.9341 | obj = 3.1462 | cls = 0.1156 | lr = 0.001000
epoch 001 | step 0340 | total = 8.0363 | box = 0.8841 | obj = 3.4976 | cls = 0.1183 | lr = 0.001000
epoch 001 | step 0360 | total = 7.7069 | box = 0.9108 | obj = 3.0369 | cls = 0.1158 | lr = 0.001000
epoch 001 | step 0380 | total = 7.3093 | box = 0.8494 | obj = 2.9326 | cls = 0.1298 | lr = 0.001000
