dataset storage train: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_train/chunk_1024/index.json | chunks = 116 | samples = 118287 | chunk_size = 1024
dataset storage val: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_val/chunk_1024/index.json | chunks = 5 | samples = 5000 | chunk_size = 1024
starting yolov0 training
run id: dual_scale_three_box_coco_only_noobj1_20260428_143454
device: cuda
train dataset length: 118287
val dataset length: 5000
model output shape: {'p4': (1, 20, 20, 255), 'p5': (1, 10, 10, 255)}
parameter total: 36531294
parameter trainable: 36531294
gpu count: 8
tensorboard dir: runs/dual_scale_three_box_coco_only_noobj1_20260428_143454
output dir: outputs/dual_scale_three_box_coco_only_noobj1_20260428_143454
epoch 001 | step 0001 | total = 11.7341 | box = 1.4576 | obj = 3.0394 | cls = 1.4065 | lr = 0.001000
epoch 001 | step 0020 | total = 8.7401 | box = 1.3080 | obj = 1.9944 | cls = 0.2055 | lr = 0.001000
epoch 001 | step 0040 | total = 8.3407 | box = 1.2681 | obj = 1.9054 | cls = 0.0948 | lr = 0.001000
epoch 001 | step 0060 | total = 8.1684 | box = 1.2282 | obj = 1.9532 | cls = 0.0743 | lr = 0.001000
epoch 001 | step 0080 | total = 8.2721 | box = 1.2704 | obj = 1.8588 | cls = 0.0611 | lr = 0.001000
epoch 001 | step 0100 | total = 8.2490 | box = 1.2703 | obj = 1.8417 | cls = 0.0559 | lr = 0.001000
epoch 001 | step 0120 | total = 8.0585 | box = 1.2228 | obj = 1.8888 | cls = 0.0558 | lr = 0.001000
epoch 001 | step 0140 | total = 7.7951 | box = 1.1597 | obj = 1.9368 | cls = 0.0596 | lr = 0.001000
epoch 001 | step 0160 | total = 7.8029 | box = 1.1716 | obj = 1.8885 | cls = 0.0564 | lr = 0.001000
epoch 001 | step 0180 | total = 7.6006 | box = 1.1198 | obj = 1.9454 | cls = 0.0565 | lr = 0.001000
epoch 001 | step 0200 | total = 7.5308 | box = 1.1042 | obj = 1.9514 | cls = 0.0582 | lr = 0.001000
epoch 001 | step 0220 | total = 7.7183 | box = 1.1532 | obj = 1.8941 | cls = 0.0584 | lr = 0.001000
epoch 001 | step 0240 | total = 7.8975 | box = 1.2015 | obj = 1.8361 | cls = 0.0540 | lr = 0.001000
epoch 001 | step 0260 | total = 7.4141 | box = 1.0831 | obj = 1.9386 | cls = 0.0602 | lr = 0.001000
epoch 001 | step 0280 | total = 7.5878 | box = 1.1150 | obj = 1.9522 | cls = 0.0604 | lr = 0.001000
epoch 001 | step 0300 | total = 7.7385 | box = 1.1640 | obj = 1.8656 | cls = 0.0528 | lr = 0.001000
epoch 001 | step 0320 | total = 7.4029 | box = 1.0777 | obj = 1.9568 | cls = 0.0578 | lr = 0.001000
epoch 001 | step 0340 | total = 7.4668 | box = 1.1043 | obj = 1.8889 | cls = 0.0562 | lr = 0.001000
epoch 001 | step 0360 | total = 7.6169 | box = 1.1381 | obj = 1.8727 | cls = 0.0537 | lr = 0.001000
epoch 001 | step 0380 | total = 7.4277 | box = 1.0885 | obj = 1.9286 | cls = 0.0566 | lr = 0.001000
epoch 001 | step 0400 | total = 7.2818 | box = 1.0559 | obj = 1.9447 | cls = 0.0579 | lr = 0.001000
epoch 001 | step 0420 | total = 7.5388 | box = 1.1202 | obj = 1.8840 | cls = 0.0538 | lr = 0.001000
epoch 001 | step 0440 | total = 7.5140 | box = 1.1235 | obj = 1.8401 | cls = 0.0562 | lr = 0.001000
epoch 001 | step 0460 | total = 7.3388 | box = 1.0722 | obj = 1.9208 | cls = 0.0570 | lr = 0.001000
epoch 001 | step 0480 | total = 7.2248 | box = 1.0486 | obj = 1.9245 | cls = 0.0571 | lr = 0.001000
epoch 001 | step 0500 | total = 7.3709 | box = 1.0855 | obj = 1.8868 | cls = 0.0565 | lr = 0.001000
epoch 001 | step 0520 | total = 7.0976 | box = 1.0119 | obj = 1.9765 | cls = 0.0617 | lr = 0.001000
epoch 001 | step 0540 | total = 7.2672 | box = 1.0579 | obj = 1.9198 | cls = 0.0580 | lr = 0.001000
epoch 001 | step 0560 | total = 7.4172 | box = 1.1017 | obj = 1.8530 | cls = 0.0558 | lr = 0.001000
epoch 001 | step 0580 | total = 7.3285 | box = 1.0796 | obj = 1.8771 | cls = 0.0531 | lr = 0.001000
epoch 001 | step 0600 | total = 7.1833 | box = 1.0500 | obj = 1.8738 | cls = 0.0596 | lr = 0.001000
epoch 001 | step 0620 | total = 7.1345 | box = 1.0311 | obj = 1.9215 | cls = 0.0574 | lr = 0.001000
epoch 001 | step 0640 | total = 7.1591 | box = 1.0292 | obj = 1.9536 | cls = 0.0595 | lr = 0.001000
epoch 001 | step 0660 | total = 7.1911 | box = 1.0462 | obj = 1.9054 | cls = 0.0546 | lr = 0.001000
epoch 001 | step 0680 | total = 7.0696 | box = 1.0180 | obj = 1.9209 | cls = 0.0587 | lr = 0.001000
epoch 001 | step 0700 | total = 7.1082 | box = 1.0332 | obj = 1.8874 | cls = 0.0548 | lr = 0.001000
epoch 001 | step 0720 | total = 7.1299 | box = 1.0372 | obj = 1.8880 | cls = 0.0558 | lr = 0.001000
epoch 001 | step 0740 | total = 6.9670 | box = 0.9932 | obj = 1.9434 | cls = 0.0574 | lr = 0.001000
epoch 001 | step 0760 | total = 6.5859 | box = 0.9178 | obj = 1.9379 | cls = 0.0588 | lr = 0.001000
epoch 001 | step 0780 | total = 6.9125 | box = 0.9906 | obj = 1.9047 | cls = 0.0546 | lr = 0.001000
epoch 001 | step 0800 | total = 7.2253 | box = 1.0637 | obj = 1.8542 | cls = 0.0523 | lr = 0.001000
epoch 001 | step 0820 | total = 7.0505 | box = 1.0301 | obj = 1.8471 | cls = 0.0531 | lr = 0.001000
epoch 001 | step 0840 | total = 6.8689 | box = 0.9809 | obj = 1.9046 | cls = 0.0598 | lr = 0.001000
epoch 001 | step 0860 | total = 6.7243 | box = 0.9526 | obj = 1.9020 | cls = 0.0596 | lr = 0.001000
epoch 001 | step 0880 | total = 7.1118 | box = 1.0273 | obj = 1.9213 | cls = 0.0539 | lr = 0.001000
epoch 001 | step 0900 | total = 6.9770 | box = 1.0159 | obj = 1.8441 | cls = 0.0534 | lr = 0.001000
epoch 001 | step 0920 | total = 7.2018 | box = 1.0586 | obj = 1.8571 | cls = 0.0518 | lr = 0.001000
[epoch 001 train] total = 7.4938 | box = 1.1038 | obj = 1.9045 | cls = 0.0706 | batches = 925 | time = 2789.0s
[epoch 001 val] total = 7.0185 | box = 1.0185 | obj = 1.8719 | cls = 0.0542 | batches = 40 | time = 125.8s
epoch 002 | step 0001 | total = 6.8377 | box = 0.9868 | obj = 1.8480 | cls = 0.0557 | lr = 0.000994
epoch 002 | step 0020 | total = 7.0411 | box = 1.0246 | obj = 1.8627 | cls = 0.0553 | lr = 0.000994
epoch 002 | step 0040 | total = 6.7549 | box = 0.9704 | obj = 1.8483 | cls = 0.0548 | lr = 0.000994
epoch 002 | step 0060 | total = 6.7981 | box = 0.9700 | obj = 1.8938 | cls = 0.0541 | lr = 0.000994
epoch 002 | step 0080 | total = 6.9564 | box = 1.0003 | obj = 1.9022 | cls = 0.0527 | lr = 0.000994
epoch 002 | step 0100 | total = 6.8637 | box = 0.9907 | obj = 1.8562 | cls = 0.0542 | lr = 0.000994
epoch 002 | step 0120 | total = 7.2138 | box = 1.0584 | obj = 1.8693 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0140 | total = 6.9251 | box = 1.0142 | obj = 1.8031 | cls = 0.0511 | lr = 0.000994
epoch 002 | step 0160 | total = 6.8956 | box = 0.9999 | obj = 1.8414 | cls = 0.0546 | lr = 0.000994
epoch 002 | step 0180 | total = 6.7556 | box = 0.9626 | obj = 1.8847 | cls = 0.0580 | lr = 0.000994
epoch 002 | step 0200 | total = 6.5839 | box = 0.9202 | obj = 1.9235 | cls = 0.0595 | lr = 0.000994
epoch 002 | step 0220 | total = 6.8425 | box = 0.9912 | obj = 1.8316 | cls = 0.0547 | lr = 0.000994
epoch 002 | step 0240 | total = 6.8308 | box = 0.9901 | obj = 1.8264 | cls = 0.0541 | lr = 0.000994
epoch 002 | step 0260 | total = 6.7813 | box = 0.9862 | obj = 1.8001 | cls = 0.0503 | lr = 0.000994
epoch 002 | step 0280 | total = 6.6916 | box = 0.9590 | obj = 1.8452 | cls = 0.0516 | lr = 0.000994
epoch 002 | step 0300 | total = 6.8153 | box = 0.9825 | obj = 1.8506 | cls = 0.0523 | lr = 0.000994
epoch 002 | step 0320 | total = 6.7002 | box = 0.9646 | obj = 1.8229 | cls = 0.0542 | lr = 0.000994
epoch 002 | step 0340 | total = 6.7814 | box = 0.9584 | obj = 1.9289 | cls = 0.0606 | lr = 0.000994
epoch 002 | step 0360 | total = 7.1933 | box = 1.0631 | obj = 1.8290 | cls = 0.0490 | lr = 0.000994
epoch 002 | step 0380 | total = 6.6200 | box = 0.9463 | obj = 1.8319 | cls = 0.0567 | lr = 0.000994
epoch 002 | step 0400 | total = 6.8941 | box = 0.9971 | obj = 1.8567 | cls = 0.0520 | lr = 0.000994
epoch 002 | step 0420 | total = 6.7765 | box = 0.9858 | obj = 1.7956 | cls = 0.0517 | lr = 0.000994
epoch 002 | step 0440 | total = 6.8039 | box = 0.9797 | obj = 1.8532 | cls = 0.0520 | lr = 0.000994
epoch 002 | step 0460 | total = 6.8238 | box = 0.9986 | obj = 1.7804 | cls = 0.0506 | lr = 0.000994
epoch 002 | step 0480 | total = 6.5598 | box = 0.9325 | obj = 1.8431 | cls = 0.0543 | lr = 0.000994
epoch 002 | step 0500 | total = 6.5786 | box = 0.9424 | obj = 1.8141 | cls = 0.0524 | lr = 0.000994
epoch 002 | step 0520 | total = 6.6735 | box = 0.9696 | obj = 1.7754 | cls = 0.0499 | lr = 0.000994
epoch 002 | step 0540 | total = 6.9429 | box = 1.0085 | obj = 1.8495 | cls = 0.0510 | lr = 0.000994
epoch 002 | step 0560 | total = 6.5699 | box = 0.9331 | obj = 1.8514 | cls = 0.0528 | lr = 0.000994
epoch 002 | step 0580 | total = 6.8374 | box = 0.9927 | obj = 1.8225 | cls = 0.0516 | lr = 0.000994
epoch 002 | step 0600 | total = 6.6611 | box = 0.9554 | obj = 1.8318 | cls = 0.0524 | lr = 0.000994
epoch 002 | step 0620 | total = 6.4293 | box = 0.9103 | obj = 1.8242 | cls = 0.0534 | lr = 0.000994
