dataset storage train: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_train/chunk_1024/index.json | chunks = 116 | samples = 118287 | chunk_size = 1024
dataset storage val: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_val/chunk_1024/index.json | chunks = 5 | samples = 5000 | chunk_size = 1024
starting yolov0 training
run id: dual_scale_three_box_coco_only_noobj1_20260428_180817
device: cuda
train dataset length: 118287
val dataset length: 5000
model output shape: {'p4': (1, 20, 20, 255), 'p5': (1, 10, 10, 255)}
parameter total: 36531294
parameter trainable: 36531294
gpu count: 8
tensorboard dir: runs/dual_scale_three_box_coco_only_noobj1_20260428_180817
output dir: outputs/dual_scale_three_box_coco_only_noobj1_20260428_180817
epoch 001 | step 0001 | total = 11.7341 | box = 1.4576 | obj = 3.0394 | cls = 1.4065 | lr = 0.001000
epoch 001 | step 0020 | total = 8.7395 | box = 1.3097 | obj = 1.9831 | cls = 0.2078 | lr = 0.001000
epoch 001 | step 0040 | total = 8.3515 | box = 1.2750 | obj = 1.8837 | cls = 0.0929 | lr = 0.001000
epoch 001 | step 0060 | total = 8.0922 | box = 1.2123 | obj = 1.9567 | cls = 0.0738 | lr = 0.001000
epoch 001 | step 0080 | total = 8.1555 | box = 1.2462 | obj = 1.8628 | cls = 0.0618 | lr = 0.001000
epoch 001 | step 0100 | total = 8.2152 | box = 1.2666 | obj = 1.8274 | cls = 0.0548 | lr = 0.001000
epoch 001 | step 0120 | total = 8.0379 | box = 1.2220 | obj = 1.8726 | cls = 0.0555 | lr = 0.001000
epoch 001 | step 0140 | total = 7.8084 | box = 1.1620 | obj = 1.9383 | cls = 0.0600 | lr = 0.001000
epoch 001 | step 0160 | total = 7.7686 | box = 1.1660 | obj = 1.8821 | cls = 0.0564 | lr = 0.001000
epoch 001 | step 0180 | total = 7.6140 | box = 1.1223 | obj = 1.9455 | cls = 0.0568 | lr = 0.001000
epoch 001 | step 0200 | total = 7.5182 | box = 1.0976 | obj = 1.9718 | cls = 0.0585 | lr = 0.001000
epoch 001 | step 0220 | total = 7.7094 | box = 1.1514 | obj = 1.8936 | cls = 0.0587 | lr = 0.001000
epoch 001 | step 0240 | total = 7.9043 | box = 1.2083 | obj = 1.8096 | cls = 0.0533 | lr = 0.001000
epoch 001 | step 0260 | total = 7.4019 | box = 1.0828 | obj = 1.9274 | cls = 0.0603 | lr = 0.001000
epoch 001 | step 0280 | total = 7.5460 | box = 1.1077 | obj = 1.9474 | cls = 0.0600 | lr = 0.001000
epoch 001 | step 0300 | total = 7.7205 | box = 1.1602 | obj = 1.8666 | cls = 0.0527 | lr = 0.001000
epoch 001 | step 0320 | total = 7.4024 | box = 1.0771 | obj = 1.9594 | cls = 0.0577 | lr = 0.001000
epoch 001 | step 0340 | total = 7.4587 | box = 1.1055 | obj = 1.8747 | cls = 0.0563 | lr = 0.001000
epoch 001 | step 0360 | total = 7.6713 | box = 1.1462 | obj = 1.8862 | cls = 0.0542 | lr = 0.001000
epoch 001 | step 0380 | total = 7.4305 | box = 1.0890 | obj = 1.9287 | cls = 0.0567 | lr = 0.001000
epoch 001 | step 0400 | total = 7.2919 | box = 1.0562 | obj = 1.9529 | cls = 0.0580 | lr = 0.001000
epoch 001 | step 0420 | total = 7.4787 | box = 1.1119 | obj = 1.8656 | cls = 0.0536 | lr = 0.001000
epoch 001 | step 0440 | total = 7.4763 | box = 1.1165 | obj = 1.8376 | cls = 0.0563 | lr = 0.001000
epoch 001 | step 0460 | total = 7.2876 | box = 1.0639 | obj = 1.9114 | cls = 0.0567 | lr = 0.001000
epoch 001 | step 0480 | total = 7.3047 | box = 1.0644 | obj = 1.9262 | cls = 0.0568 | lr = 0.001000
epoch 001 | step 0500 | total = 7.4331 | box = 1.0994 | obj = 1.8805 | cls = 0.0557 | lr = 0.001000
epoch 001 | step 0520 | total = 7.1025 | box = 1.0133 | obj = 1.9745 | cls = 0.0614 | lr = 0.001000
epoch 001 | step 0540 | total = 7.2196 | box = 1.0495 | obj = 1.9135 | cls = 0.0587 | lr = 0.001000
epoch 001 | step 0560 | total = 7.4465 | box = 1.1041 | obj = 1.8703 | cls = 0.0556 | lr = 0.001000
epoch 001 | step 0580 | total = 7.3480 | box = 1.0837 | obj = 1.8761 | cls = 0.0534 | lr = 0.001000
epoch 001 | step 0600 | total = 7.1902 | box = 1.0526 | obj = 1.8676 | cls = 0.0593 | lr = 0.001000
epoch 001 | step 0620 | total = 7.1324 | box = 1.0338 | obj = 1.9058 | cls = 0.0575 | lr = 0.001000
epoch 001 | step 0640 | total = 7.1710 | box = 1.0321 | obj = 1.9517 | cls = 0.0589 | lr = 0.001000
epoch 001 | step 0660 | total = 7.2055 | box = 1.0467 | obj = 1.9174 | cls = 0.0546 | lr = 0.001000
epoch 001 | step 0680 | total = 7.0593 | box = 1.0156 | obj = 1.9219 | cls = 0.0592 | lr = 0.001000
epoch 001 | step 0700 | total = 7.0969 | box = 1.0334 | obj = 1.8746 | cls = 0.0552 | lr = 0.001000
epoch 001 | step 0720 | total = 7.1600 | box = 1.0395 | obj = 1.9063 | cls = 0.0562 | lr = 0.001000
epoch 001 | step 0740 | total = 7.0281 | box = 1.0006 | obj = 1.9667 | cls = 0.0582 | lr = 0.001000
epoch 001 | step 0760 | total = 6.6892 | box = 0.9345 | obj = 1.9582 | cls = 0.0587 | lr = 0.001000
epoch 001 | step 0780 | total = 6.9552 | box = 0.9968 | obj = 1.9167 | cls = 0.0546 | lr = 0.001000
epoch 001 | step 0800 | total = 7.2389 | box = 1.0690 | obj = 1.8412 | cls = 0.0525 | lr = 0.001000
epoch 001 | step 0820 | total = 7.0799 | box = 1.0351 | obj = 1.8510 | cls = 0.0534 | lr = 0.001000
epoch 001 | step 0840 | total = 6.8614 | box = 0.9787 | obj = 1.9079 | cls = 0.0598 | lr = 0.001000
epoch 001 | step 0860 | total = 6.7320 | box = 0.9558 | obj = 1.8937 | cls = 0.0594 | lr = 0.001000
epoch 001 | step 0880 | total = 7.0512 | box = 1.0163 | obj = 1.9153 | cls = 0.0547 | lr = 0.001000
epoch 001 | step 0900 | total = 7.0167 | box = 1.0216 | obj = 1.8555 | cls = 0.0533 | lr = 0.001000
epoch 001 | step 0920 | total = 7.1768 | box = 1.0544 | obj = 1.8532 | cls = 0.0516 | lr = 0.001000
[epoch 001 train] total = 7.4982 | box = 1.1046 | obj = 1.9049 | cls = 0.0706 | batches = 925 | time = 2856.5s
[epoch 001 val] total = 7.0067 | box = 1.0099 | obj = 1.9016 | cls = 0.0554 | batches = 40 | time = 131.3s
epoch 002 | step 0001 | total = 6.9073 | box = 1.0004 | obj = 1.8500 | cls = 0.0551 | lr = 0.000994
epoch 002 | step 0020 | total = 7.0762 | box = 1.0296 | obj = 1.8734 | cls = 0.0550 | lr = 0.000994
epoch 002 | step 0040 | total = 6.7746 | box = 0.9744 | obj = 1.8482 | cls = 0.0543 | lr = 0.000994
epoch 002 | step 0060 | total = 6.8020 | box = 0.9701 | obj = 1.8975 | cls = 0.0542 | lr = 0.000994
epoch 002 | step 0080 | total = 7.0107 | box = 1.0107 | obj = 1.9045 | cls = 0.0526 | lr = 0.000994
epoch 002 | step 0100 | total = 6.8683 | box = 0.9890 | obj = 1.8683 | cls = 0.0548 | lr = 0.000994
epoch 002 | step 0120 | total = 7.1980 | box = 1.0533 | obj = 1.8795 | cls = 0.0522 | lr = 0.000994
epoch 002 | step 0140 | total = 6.9037 | box = 1.0043 | obj = 1.8302 | cls = 0.0517 | lr = 0.000994
epoch 002 | step 0160 | total = 6.8822 | box = 0.9978 | obj = 1.8383 | cls = 0.0548 | lr = 0.000994
epoch 002 | step 0180 | total = 6.7529 | box = 0.9612 | obj = 1.8897 | cls = 0.0571 | lr = 0.000994
epoch 002 | step 0200 | total = 6.6353 | box = 0.9317 | obj = 1.9170 | cls = 0.0598 | lr = 0.000994
epoch 002 | step 0220 | total = 6.8881 | box = 0.9986 | obj = 1.8406 | cls = 0.0544 | lr = 0.000994
epoch 002 | step 0240 | total = 6.8893 | box = 1.0020 | obj = 1.8256 | cls = 0.0540 | lr = 0.000994
epoch 002 | step 0260 | total = 6.8179 | box = 0.9915 | obj = 1.8092 | cls = 0.0513 | lr = 0.000994
epoch 002 | step 0280 | total = 6.6877 | box = 0.9550 | obj = 1.8601 | cls = 0.0524 | lr = 0.000994
epoch 002 | step 0300 | total = 6.8368 | box = 0.9909 | obj = 1.8300 | cls = 0.0524 | lr = 0.000994
epoch 002 | step 0320 | total = 6.6957 | box = 0.9603 | obj = 1.8395 | cls = 0.0548 | lr = 0.000994
epoch 002 | step 0340 | total = 6.7996 | box = 0.9578 | obj = 1.9499 | cls = 0.0605 | lr = 0.000994
epoch 002 | step 0360 | total = 7.1437 | box = 1.0554 | obj = 1.8174 | cls = 0.0492 | lr = 0.000994
epoch 002 | step 0380 | total = 6.6021 | box = 0.9419 | obj = 1.8353 | cls = 0.0573 | lr = 0.000994
epoch 002 | step 0400 | total = 6.8729 | box = 0.9937 | obj = 1.8528 | cls = 0.0515 | lr = 0.000994
epoch 002 | step 0420 | total = 6.7597 | box = 0.9824 | obj = 1.7957 | cls = 0.0520 | lr = 0.000994
epoch 002 | step 0440 | total = 6.7498 | box = 0.9738 | obj = 1.8289 | cls = 0.0518 | lr = 0.000994
epoch 002 | step 0460 | total = 6.8301 | box = 1.0021 | obj = 1.7703 | cls = 0.0492 | lr = 0.000994
epoch 002 | step 0480 | total = 6.5483 | box = 0.9273 | obj = 1.8569 | cls = 0.0550 | lr = 0.000994
epoch 002 | step 0500 | total = 6.5783 | box = 0.9429 | obj = 1.8112 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0520 | total = 6.6894 | box = 0.9715 | obj = 1.7820 | cls = 0.0501 | lr = 0.000994
epoch 002 | step 0540 | total = 6.9107 | box = 0.9999 | obj = 1.8599 | cls = 0.0511 | lr = 0.000994
epoch 002 | step 0560 | total = 6.5469 | box = 0.9256 | obj = 1.8661 | cls = 0.0527 | lr = 0.000994
epoch 002 | step 0580 | total = 6.8832 | box = 0.9983 | obj = 1.8398 | cls = 0.0517 | lr = 0.000994
epoch 002 | step 0600 | total = 6.6603 | box = 0.9525 | obj = 1.8453 | cls = 0.0526 | lr = 0.000994
epoch 002 | step 0620 | total = 6.5777 | box = 0.9377 | obj = 1.8360 | cls = 0.0532 | lr = 0.000994
epoch 002 | step 0640 | total = 6.7837 | box = 0.9827 | obj = 1.8176 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0660 | total = 6.5828 | box = 0.9347 | obj = 1.8551 | cls = 0.0540 | lr = 0.000994
epoch 002 | step 0680 | total = 6.8027 | box = 0.9870 | obj = 1.8183 | cls = 0.0494 | lr = 0.000994
epoch 002 | step 0700 | total = 6.7002 | box = 0.9644 | obj = 1.8274 | cls = 0.0507 | lr = 0.000994
epoch 002 | step 0720 | total = 6.4347 | box = 0.9018 | obj = 1.8692 | cls = 0.0565 | lr = 0.000994
epoch 002 | step 0740 | total = 6.5840 | box = 0.9488 | obj = 1.7888 | cls = 0.0513 | lr = 0.000994
epoch 002 | step 0760 | total = 6.8172 | box = 0.9902 | obj = 1.8123 | cls = 0.0538 | lr = 0.000994
epoch 002 | step 0780 | total = 6.4750 | box = 0.9116 | obj = 1.8618 | cls = 0.0552 | lr = 0.000994
epoch 002 | step 0800 | total = 6.7047 | box = 0.9668 | obj = 1.8164 | cls = 0.0541 | lr = 0.000994
epoch 002 | step 0820 | total = 6.4657 | box = 0.9127 | obj = 1.8474 | cls = 0.0547 | lr = 0.000994
epoch 002 | step 0840 | total = 6.6592 | box = 0.9621 | obj = 1.7974 | cls = 0.0514 | lr = 0.000994
epoch 002 | step 0860 | total = 6.4924 | box = 0.9215 | obj = 1.8280 | cls = 0.0569 | lr = 0.000994
epoch 002 | step 0880 | total = 6.5682 | box = 0.9444 | obj = 1.7943 | cls = 0.0519 | lr = 0.000994
epoch 002 | step 0900 | total = 6.3991 | box = 0.9162 | obj = 1.7684 | cls = 0.0495 | lr = 0.000994
epoch 002 | step 0920 | total = 6.7955 | box = 0.9845 | obj = 1.8258 | cls = 0.0473 | lr = 0.000994
[epoch 002 train] total = 6.7310 | box = 0.9669 | obj = 1.8436 | cls = 0.0530 | batches = 925 | time = 3034.7s
[epoch 002 val] total = 6.8139 | box = 0.9730 | obj = 1.8952 | cls = 0.0540 | batches = 40 | time = 125.0s
epoch 003 | step 0001 | total = 6.5956 | box = 0.9486 | obj = 1.8036 | cls = 0.0489 | lr = 0.000976
epoch 003 | step 0020 | total = 6.4826 | box = 0.9132 | obj = 1.8638 | cls = 0.0525 | lr = 0.000976
epoch 003 | step 0040 | total = 6.3040 | box = 0.8851 | obj = 1.8256 | cls = 0.0529 | lr = 0.000976
epoch 003 | step 0060 | total = 6.4902 | box = 0.9241 | obj = 1.8159 | cls = 0.0536 | lr = 0.000976
epoch 003 | step 0080 | total = 6.4364 | box = 0.9053 | obj = 1.8573 | cls = 0.0524 | lr = 0.000976
epoch 003 | step 0100 | total = 6.5731 | box = 0.9423 | obj = 1.8087 | cls = 0.0530 | lr = 0.000976
epoch 003 | step 0120 | total = 6.6538 | box = 0.9595 | obj = 1.8079 | cls = 0.0486 | lr = 0.000976
epoch 003 | step 0140 | total = 6.6561 | box = 0.9519 | obj = 1.8435 | cls = 0.0531 | lr = 0.000976
epoch 003 | step 0160 | total = 6.2962 | box = 0.8861 | obj = 1.8147 | cls = 0.0508 | lr = 0.000976
epoch 003 | step 0180 | total = 6.3715 | box = 0.8959 | obj = 1.8385 | cls = 0.0534 | lr = 0.000976
epoch 003 | step 0200 | total = 6.1425 | box = 0.8583 | obj = 1.7984 | cls = 0.0526 | lr = 0.000976
epoch 003 | step 0220 | total = 6.6762 | box = 0.9543 | obj = 1.8534 | cls = 0.0515 | lr = 0.000976
epoch 003 | step 0240 | total = 6.3891 | box = 0.8990 | obj = 1.8453 | cls = 0.0490 | lr = 0.000976
epoch 003 | step 0260 | total = 6.2772 | box = 0.8822 | obj = 1.8159 | cls = 0.0504 | lr = 0.000976
epoch 003 | step 0280 | total = 6.4168 | box = 0.9160 | obj = 1.7844 | cls = 0.0525 | lr = 0.000976
epoch 003 | step 0300 | total = 6.4988 | box = 0.9174 | obj = 1.8618 | cls = 0.0502 | lr = 0.000976
epoch 003 | step 0320 | total = 6.4053 | box = 0.9068 | obj = 1.8212 | cls = 0.0501 | lr = 0.000976
epoch 003 | step 0340 | total = 6.0502 | box = 0.8330 | obj = 1.8285 | cls = 0.0569 | lr = 0.000976
epoch 003 | step 0360 | total = 6.5041 | box = 0.9427 | obj = 1.7378 | cls = 0.0529 | lr = 0.000976
epoch 003 | step 0380 | total = 6.4435 | box = 0.9149 | obj = 1.8182 | cls = 0.0510 | lr = 0.000976
epoch 003 | step 0400 | total = 6.5074 | box = 0.9401 | obj = 1.7571 | cls = 0.0496 | lr = 0.000976
epoch 003 | step 0420 | total = 6.4431 | box = 0.9217 | obj = 1.7852 | cls = 0.0495 | lr = 0.000976
epoch 003 | step 0440 | total = 6.3994 | box = 0.9170 | obj = 1.7649 | cls = 0.0496 | lr = 0.000976
epoch 003 | step 0460 | total = 6.3575 | box = 0.9043 | obj = 1.7871 | cls = 0.0488 | lr = 0.000976
epoch 003 | step 0480 | total = 6.7919 | box = 0.9919 | obj = 1.7847 | cls = 0.0480 | lr = 0.000976
