W0429 14:42:04.638000 4007902 site-packages/torch/distributed/run.py:851] 
W0429 14:42:04.638000 4007902 site-packages/torch/distributed/run.py:851] *****************************************
W0429 14:42:04.638000 4007902 site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0429 14:42:04.638000 4007902 site-packages/torch/distributed/run.py:851] *****************************************
DDP mode: ignoring train.use_data_parallel from config.
dataset storage train: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_train/chunk_1024/index.json | chunks = 116 | samples = 118287 | chunk_size = 1024
dataset storage val: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_val/chunk_1024/index.json | chunks = 5 | samples = 5000 | chunk_size = 1024
/home/lidz/miniconda3/envs/yolov1/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
DDP configured global batch size: 128
DDP per-rank batch size: 16
DDP effective global batch size: 128
DDP configured workers: 64
DDP per-rank workers: 8
starting yolov0 DDP training
run id: dual_scale_three_box_coco_only_noobj1_topk1_ddp_20260429_144209
device: cuda:0
backend: nccl
world size: 8
train dataset length: 118287
val dataset length: 5000
model output shape: {'p4': (1, 20, 20, 255), 'p5': (1, 10, 10, 255)}
parameter total: 36531294
parameter trainable: 36531294
tensorboard dir: runs/dual_scale_three_box_coco_only_noobj1_topk1_ddp_20260429_144209
output dir: outputs/dual_scale_three_box_coco_only_noobj1_topk1_ddp_20260429_144209
epoch 001 | step 0001 | total = 11.3975 | box = 1.3886 | obj = 3.0357 | cls = 1.4191 | lr = 0.001000
epoch 001 | step 0020 | total = 8.2631 | box = 1.1733 | obj = 2.1727 | cls = 0.2241 | lr = 0.001000
epoch 001 | step 0040 | total = 7.7949 | box = 1.1351 | obj = 2.0370 | cls = 0.0823 | lr = 0.001000
epoch 001 | step 0060 | total = 8.0607 | box = 1.2039 | obj = 1.9687 | cls = 0.0726 | lr = 0.001000
epoch 001 | step 0080 | total = 8.3240 | box = 1.2751 | obj = 1.8887 | cls = 0.0599 | lr = 0.001000
epoch 001 | step 0100 | total = 7.8649 | box = 1.1922 | obj = 1.8495 | cls = 0.0546 | lr = 0.001000
epoch 001 | step 0120 | total = 8.1493 | box = 1.2335 | obj = 1.9263 | cls = 0.0555 | lr = 0.001000
epoch 001 | step 0140 | total = 7.2274 | box = 1.0096 | obj = 2.1162 | cls = 0.0633 | lr = 0.001000
epoch 001 | step 0160 | total = 7.5391 | box = 1.0795 | obj = 2.0699 | cls = 0.0717 | lr = 0.001000
epoch 001 | step 0180 | total = 7.4841 | box = 1.0781 | obj = 2.0284 | cls = 0.0654 | lr = 0.001000
epoch 001 | step 0200 | total = 7.1146 | box = 0.9975 | obj = 2.0642 | cls = 0.0632 | lr = 0.001000
epoch 001 | step 0220 | total = 6.9853 | box = 0.9704 | obj = 2.0680 | cls = 0.0652 | lr = 0.001000
epoch 001 | step 0240 | total = 7.4922 | box = 1.1059 | obj = 1.9009 | cls = 0.0620 | lr = 0.001000
epoch 001 | step 0260 | total = 7.4278 | box = 1.0850 | obj = 1.9452 | cls = 0.0576 | lr = 0.001000
epoch 001 | step 0280 | total = 7.7654 | box = 1.1561 | obj = 1.9328 | cls = 0.0520 | lr = 0.001000
