starting yolov0 training
run id: dual_scale_three_box_formal_2gpu_20260427_150605
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: {'p4': (1, 20, 20, 255), 'p5': (1, 10, 10, 255)}
parameter total: 36531294
parameter trainable: 36531294
gpu count: 2
tensorboard dir: runs/dual_scale_three_box_formal_2gpu_20260427_150605
output dir: outputs/dual_scale_three_box_formal_2gpu_20260427_150605
epoch 001 | step 0001 | total = 11.1302 | box = 1.4692 | obj = 2.3564 | cls = 1.4278 | lr = 0.001000
epoch 001 | step 0020 | total = 8.5515 | box = 1.3000 | obj = 1.7553 | cls = 0.2963 | lr = 0.001000
epoch 001 | step 0040 | total = 8.3139 | box = 1.3000 | obj = 1.6912 | cls = 0.1224 | lr = 0.001000
epoch 001 | step 0060 | total = 8.3522 | box = 1.3243 | obj = 1.6602 | cls = 0.0704 | lr = 0.001000
epoch 001 | step 0080 | total = 8.3692 | box = 1.3201 | obj = 1.6928 | cls = 0.0760 | lr = 0.001000
epoch 001 | step 0100 | total = 8.3626 | box = 1.3308 | obj = 1.6459 | cls = 0.0626 | lr = 0.001000
epoch 001 | step 0120 | total = 7.6586 | box = 1.1763 | obj = 1.7154 | cls = 0.0615 | lr = 0.001000
epoch 001 | step 0140 | total = 7.8201 | box = 1.2090 | obj = 1.7109 | cls = 0.0641 | lr = 0.001000
epoch 001 | step 0160 | total = 8.2591 | box = 1.3059 | obj = 1.6716 | cls = 0.0580 | lr = 0.001000
epoch 001 | step 0180 | total = 7.8750 | box = 1.2171 | obj = 1.7294 | cls = 0.0602 | lr = 0.001000
epoch 001 | step 0200 | total = 7.8788 | box = 1.2253 | obj = 1.7041 | cls = 0.0484 | lr = 0.001000
epoch 001 | step 0220 | total = 7.3288 | box = 1.1098 | obj = 1.7141 | cls = 0.0656 | lr = 0.001000
epoch 001 | step 0240 | total = 7.5718 | box = 1.1508 | obj = 1.7605 | cls = 0.0573 | lr = 0.001000
