DDP mode: ignoring train.use_data_parallel from config.
dataset storage train: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_train/chunk_1024/index.json | chunks = 116 | samples = 118287 | chunk_size = 1024
dataset storage val: pt | index = /home/lidz/YOLO/DataSet/Unified/packed/pt/coco2017_val/chunk_1024/index.json | chunks = 5 | samples = 5000 | chunk_size = 1024
DDP configured global batch size: 128
DDP per-rank batch size: 16
DDP effective global batch size: 128
DDP configured workers: 64
DDP per-rank workers: 8
starting yolov0 DDP training
run id: dual_scale_three_box_coco_only_noobj1_512_k6_ddp_20260506_152934
device: cuda:0
backend: nccl
world size: 8
train dataset length: 118287
val dataset length: 5000
model output shape: {'p4': (1, 32, 32, 255), 'p5': (1, 16, 16, 255)}
parameter total: 36531294
parameter trainable: 36531294
tensorboard dir: runs/dual_scale_three_box_coco_only_noobj1_512_k6_ddp_20260506_152934
output dir: outputs/dual_scale_three_box_coco_only_noobj1_512_k6_ddp_20260506_152934
epoch 001 | step 0001 | total = 11.4841 | box = 1.4043 | obj = 3.0407 | cls = 1.4221 | lr = 0.001000
epoch 001 | step 0020 | total = 8.1473 | box = 1.1170 | obj = 2.2683 | cls = 0.2939 | lr = 0.001000
epoch 001 | step 0040 | total = 7.2817 | box = 1.0071 | obj = 2.1635 | cls = 0.0825 | lr = 0.001000
epoch 001 | step 0060 | total = 7.7066 | box = 1.1152 | obj = 2.0596 | cls = 0.0710 | lr = 0.001000
epoch 001 | step 0080 | total = 8.1254 | box = 1.2179 | obj = 1.9719 | cls = 0.0642 | lr = 0.001000
epoch 001 | step 0100 | total = 7.5590 | box = 1.1134 | obj = 1.9319 | cls = 0.0598 | lr = 0.001000
epoch 001 | step 0120 | total = 7.8417 | box = 1.1525 | obj = 2.0186 | cls = 0.0604 | lr = 0.001000
epoch 001 | step 0140 | total = 7.1276 | box = 0.9977 | obj = 2.0760 | cls = 0.0631 | lr = 0.001000
epoch 001 | step 0160 | total = 7.1402 | box = 0.9983 | obj = 2.0746 | cls = 0.0741 | lr = 0.001000
epoch 001 | step 0180 | total = 6.9715 | box = 0.9571 | obj = 2.1161 | cls = 0.0701 | lr = 0.001000
epoch 001 | step 0200 | total = 6.8886 | box = 0.9471 | obj = 2.0871 | cls = 0.0662 | lr = 0.001000
epoch 001 | step 0220 | total = 6.5173 | box = 0.8687 | obj = 2.1030 | cls = 0.0708 | lr = 0.001000
epoch 001 | step 0240 | total = 7.3507 | box = 1.0743 | obj = 1.9153 | cls = 0.0640 | lr = 0.001000
epoch 001 | step 0260 | total = 7.0956 | box = 1.0145 | obj = 1.9616 | cls = 0.0615 | lr = 0.001000
