epoch train_total val_total train_box val_box train_obj val_obj train_cls val_cls lr
1 7.206142 6.809100 1.037245 0.964146 1.944811 1.930124 0.075108 0.058245 0.001000000
2 6.364615 6.185277 0.890493 0.861135 1.855827 1.824844 0.056320 0.054756 0.000997288
3 6.001631 6.157725 0.829941 0.853057 1.797870 1.837545 0.054055 0.054894 0.000989183
4 5.780289 5.852791 0.793445 0.800385 1.760828 1.797185 0.052237 0.053680 0.000975773
5 5.614660 5.720713 0.766474 0.782344 1.731417 1.757463 0.050871 0.051529 0.000957205
6 5.474489 5.530465 0.744138 0.752446 1.704110 1.717893 0.049688 0.050341 0.000933683
7 5.349093 5.565452 0.724081 0.753714 1.680022 1.747551 0.048668 0.049330 0.000905463
8 5.249044 5.351600 0.708547 0.724891 1.658651 1.679135 0.047660 0.048009 0.000872857
9 5.146675 5.300120 0.692149 0.719563 1.639097 1.655261 0.046834 0.047046 0.000836220
10 5.049140 5.246222 0.677207 0.706038 1.617084 1.669093 0.046021 0.046938 0.000795954
11 4.958062 5.129576 0.663248 0.689825 1.596438 1.634919 0.045384 0.045532 0.000752500
12 4.873768 5.045705 0.650077 0.679591 1.578714 1.603123 0.044670 0.044627 0.000706335
13 4.788492 5.051392 0.637212 0.676252 1.558407 1.625023 0.044026 0.045107 0.000657963
14 4.711889 4.987074 0.625693 0.670252 1.539937 1.591529 0.043485 0.044285 0.000607916
15 4.631472 4.921129 0.613757 0.659388 1.519756 1.580329 0.042932 0.043859 0.000556742
16 4.552669 4.920948 0.601909 0.657947 1.500688 1.585958 0.042438 0.045252 0.000505000
17 4.473117 4.893343 0.590097 0.653668 1.480647 1.581469 0.041988 0.043535 0.000453258
18 4.395583 4.882307 0.578946 0.649996 1.459311 1.589283 0.041542 0.043042 0.000402084
19 4.320212 4.823917 0.568103 0.642023 1.438660 1.571104 0.041039 0.042697 0.000352037
20 4.243912 4.785591 0.557065 0.637999 1.417881 1.553280 0.040706 0.042314 0.000303665
21 4.169412 4.798389 0.546292 0.638467 1.397565 1.563797 0.040387 0.042259 0.000257500
22 4.099530 4.791113 0.536623 0.634591 1.376330 1.576129 0.040087 0.042029 0.000214046
23 4.028100 4.779924 0.526556 0.634123 1.355460 1.567436 0.039859 0.041872 0.000173780
24 3.969277 4.812624 0.518259 0.635929 1.338389 1.590957 0.039593 0.042020 0.000137143
25 3.911645 4.815115 0.510344 0.635263 1.320513 1.596935 0.039412 0.041865 0.000104537
26 3.864865 4.859835 0.503855 0.635896 1.306304 1.638372 0.039288 0.041984 0.000076317
27 3.824485 4.844659 0.498123 0.634942 1.294716 1.628082 0.039153 0.041865 0.000052795
28 3.794175 4.843624 0.493861 0.635326 1.285777 1.625093 0.039094 0.041902 0.000034227
29 3.774279 4.897908 0.491099 0.635840 1.279796 1.676802 0.038990 0.041904 0.000020817
30 3.761280 4.854441 0.489244 0.635372 1.276098 1.635670 0.038962 0.041913 0.000012712
