epoch train_improve val_improve
1 0.000000 0.000000
2 0.841527 0.623824
3 0.362984 0.027551
4 0.221342 0.304935
5 0.165629 0.132078
6 0.140171 0.190248
7 0.125396 -0.034987
8 0.100049 0.213852
9 0.102369 0.051480
10 0.097535 0.053898
11 0.091078 0.116646
12 0.084294 0.083871
13 0.085276 -0.005687
14 0.076603 0.064317
15 0.080418 0.065946
16 0.078803 0.000181
17 0.079552 0.027605
18 0.077534 0.011036
19 0.075371 0.058390
20 0.076300 0.038326
21 0.074500 -0.012798
22 0.069882 0.007277
23 0.071430 0.011189
24 0.058822 -0.032700
25 0.057632 -0.002491
26 0.046780 -0.044720
27 0.040380 0.015176
28 0.030310 0.001035
29 0.019896 -0.054284
30 0.012999 0.043468
