epoch train_giou val_giou train_pos val_pos train_ignored val_ignored train_dropped val_dropped
1 0.481378 0.517927 26.207670 27.200199 72.736229 81.068001 0.321757 0.207000
2 0.554753 0.569432 26.950697 27.431601 100.914223 104.757797 0.200054 0.187000
3 0.585029 0.573471 27.202869 27.396200 113.987396 113.754402 0.167659 0.192800
4 0.603278 0.599807 27.341665 27.743200 121.504143 112.348198 0.150277 0.145600
5 0.616763 0.608828 27.432512 27.803400 126.081451 120.326401 0.139473 0.131000
6 0.627931 0.623777 27.505402 27.881201 130.852722 124.504799 0.129371 0.120200
7 0.637960 0.623143 27.565813 27.973200 134.830994 133.555801 0.124662 0.111200
8 0.645727 0.637554 27.624205 27.919399 137.474625 138.417404 0.116825 0.127200
9 0.653926 0.640219 27.663618 27.875799 141.130341 143.562195 0.113173 0.130200
10 0.661397 0.646981 27.709953 28.003000 143.684662 148.613007 0.106942 0.114400
11 0.668376 0.655087 27.752401 28.005199 146.138092 145.800598 0.102715 0.117200
12 0.674962 0.660204 27.788727 28.058399 149.312225 150.129196 0.098869 0.105400
13 0.681394 0.661874 27.829796 28.136801 151.445297 140.291199 0.094321 0.094800
14 0.687153 0.664874 27.861279 28.104200 153.727173 157.478806 0.090601 0.100400
15 0.693122 0.670306 27.898256 28.127600 155.848694 153.215805 0.086256 0.101600
16 0.699046 0.671026 27.929207 28.182199 158.729126 147.411194 0.084438 0.090800
17 0.704952 0.673166 27.961037 28.070601 160.443298 168.336807 0.079230 0.113400
18 0.710527 0.675002 27.984276 28.136000 163.381241 162.273605 0.078030 0.103200
19 0.715949 0.678988 28.011473 28.216600 164.643951 154.941406 0.075857 0.086000
20 0.721467 0.681000 28.039961 28.194799 166.819122 157.228607 0.072907 0.097800
21 0.726854 0.680767 28.061705 28.130199 169.162689 162.980606 0.071385 0.105400
22 0.731689 0.682704 28.084126 28.167601 171.102463 166.403793 0.068342 0.100800
23 0.736722 0.682938 28.101212 28.224001 172.745758 163.920395 0.067496 0.089600
24 0.740870 0.682035 28.121136 28.202200 174.144775 163.398804 0.066837 0.092000
25 0.744828 0.682368 28.133209 28.219801 175.211182 165.210800 0.064182 0.090200
26 0.748073 0.682052 28.143768 28.199200 176.140152 169.083206 0.063193 0.087600
27 0.750938 0.682529 28.154022 28.222601 176.797134 164.488403 0.062449 0.087400
28 0.753070 0.682337 28.161453 28.228800 177.381302 163.636398 0.061959 0.089600
29 0.754451 0.682080 28.166128 28.218399 177.832184 168.086197 0.061486 0.091600
30 0.755378 0.682314 28.169249 28.222601 178.016373 164.892197 0.060851 0.088800
