step total box obj cls lr
3 10.734895 1.338535 2.765603 1.276618 0.001000000
79 7.540291 1.069718 2.118186 0.073513 0.001000000
140 7.108384 0.996111 2.065235 0.062593 0.001000000
213 6.625683 0.888802 2.109129 0.072543 0.001000000
281 7.020616 0.968936 2.107963 0.067973 0.001000000
341 6.798223 0.940181 2.028369 0.068948 0.001000000
413 7.494695 1.109861 1.891669 0.053721 0.001000000
494 6.831099 0.972031 1.910217 0.060727 0.001000000
556 6.989814 1.003295 1.914279 0.059060 0.001000000
646 6.458879 0.915943 1.822260 0.056904 0.001000000
710 6.401628 0.866241 2.004977 0.065445 0.001000000
783 6.836033 0.968401 1.938458 0.055571 0.001000000
850 6.413370 0.913265 1.786453 0.060592 0.001000000
906 7.382441 1.088483 1.893669 0.046357 0.001000000
983 7.147039 1.059530 1.805082 0.044305 0.000997288
1057 6.958817 1.004240 1.878182 0.059435 0.000997288
1107 5.866110 0.797217 1.825391 0.054635 0.000997288
1196 6.502617 0.927708 1.806898 0.057179 0.000997288
1268 6.076224 0.795901 2.026348 0.070369 0.000997288
1337 5.664237 0.742297 1.894547 0.058204 0.000997288
1402 6.977855 1.031599 1.771365 0.048495 0.000997288
1477 6.176571 0.843800 1.907531 0.050042 0.000997288
1572 5.921256 0.807570 1.818890 0.064514 0.000997288
1628 6.839649 0.983629 1.872446 0.049060 0.000997288
1690 6.246330 0.873341 1.823262 0.056364 0.000997288
1748 5.661552 0.727820 1.962622 0.059829 0.000997288
1794 6.863277 0.991733 1.849990 0.054624 0.000997288
1880 6.006661 0.824611 1.828447 0.055159 0.000989183
1955 6.460128 0.914498 1.833191 0.054447 0.000989183
2021 6.201184 0.833563 1.980386 0.052984 0.000989183
2078 5.128678 0.642689 1.855217 0.060019 0.000989183
2154 5.709850 0.766373 1.812345 0.065641 0.000989183
2238 6.432345 0.925760 1.752323 0.051221 0.000989183
2315 6.373285 0.926254 1.697453 0.044564 0.000989183
2392 6.402625 0.931571 1.697456 0.047316 0.000989183
2458 5.977962 0.802824 1.895773 0.068072 0.000989183
2522 5.632940 0.752256 1.811106 0.060556 0.000989183
2593 6.500917 0.936547 1.766647 0.051535 0.000989183
2684 5.634627 0.761505 1.769281 0.057821 0.000989183
2771 5.854882 0.778022 1.911667 0.053103 0.000989183
2855 6.300081 0.875374 1.868458 0.054753 0.000975773
2924 5.807279 0.759666 1.953873 0.055077 0.000975773
2994 5.545211 0.730528 1.838652 0.053921 0.000975773
3062 5.451105 0.730036 1.740753 0.060170 0.000975773
3159 5.801789 0.779575 1.850353 0.053561 0.000975773
3215 5.359903 0.719261 1.711208 0.052388 0.000975773
3290 5.404125 0.704699 1.826370 0.054259 0.000975773
3370 5.789479 0.802379 1.728380 0.049204 0.000975773
3436 6.446239 0.938207 1.709233 0.045971 0.000975773
3491 5.429546 0.716216 1.784208 0.064257 0.000975773
3546 5.230004 0.671740 1.808528 0.062777 0.000975773
3618 5.829936 0.801326 1.768834 0.054472 0.000975773
3684 6.327899 0.919914 1.684866 0.043463 0.000975773
3728 5.573777 0.751054 1.770635 0.047872 0.000957205
3797 5.731651 0.784056 1.757850 0.053522 0.000957205
3865 6.088252 0.850981 1.781711 0.051635 0.000957205
3928 6.060981 0.870419 1.666665 0.042219 0.000957205
3975 5.198300 0.687146 1.711637 0.050931 0.000957205
4038 5.546903 0.770636 1.651954 0.041770 0.000957205
4094 5.717977 0.787901 1.725394 0.053079 0.000957205
4173 5.359977 0.695498 1.826077 0.056407 0.000957205
4227 5.536206 0.750982 1.716273 0.065024 0.000957205
4293 5.134809 0.679918 1.683021 0.052199 0.000957205
4373 4.982229 0.658344 1.644837 0.045674 0.000957205
4446 5.575293 0.763153 1.703267 0.056261 0.000957205
4530 5.782384 0.806030 1.706445 0.045788 0.000957205
4602 5.962701 0.801145 1.903675 0.053300 0.000957205
4675 5.414461 0.719315 1.765368 0.052516 0.000933683
4731 4.905643 0.629814 1.700102 0.056473 0.000933683
4799 5.060889 0.672055 1.650039 0.050577 0.000933683
4855 4.560576 0.574579 1.634452 0.053230 0.000933683
4941 5.605758 0.783389 1.639777 0.049038 0.000933683
5003 5.393583 0.751252 1.595604 0.041718 0.000933683
5071 6.550872 0.987557 1.564584 0.048503 0.000933683
5143 5.595881 0.772348 1.685210 0.048932 0.000933683
5229 5.944351 0.833112 1.727857 0.050933 0.000933683
5298 5.606991 0.783094 1.648622 0.042898 0.000933683
5377 5.661177 0.750338 1.863491 0.045994 0.000933683
5434 5.486090 0.746337 1.711929 0.042475 0.000933683
5509 4.705279 0.603564 1.630855 0.056605 0.000933683
5572 4.945860 0.652003 1.634661 0.051185 0.000905463
5645 4.881032 0.626646 1.693376 0.054425 0.000905463
5702 5.261125 0.688653 1.752810 0.065052 0.000905463
5796 5.343470 0.731594 1.641954 0.043544 0.000905463
5850 5.357226 0.712960 1.734436 0.057992 0.000905463
5919 4.506102 0.548859 1.700514 0.061294 0.000905463
5984 5.046539 0.697662 1.520934 0.037293 0.000905463
6059 4.224778 0.500953 1.639656 0.080359 0.000905463
6123 4.916841 0.649714 1.619429 0.048841 0.000905463
6190 5.973128 0.851784 1.671698 0.042510 0.000905463
6267 5.372101 0.729011 1.681065 0.045982 0.000905463
6331 5.790551 0.795826 1.763801 0.047621 0.000905463
6409 5.362906 0.730495 1.661720 0.048712 0.000905463
6469 4.668205 0.620124 1.519107 0.048481 0.000905463
6543 4.891356 0.638611 1.648941 0.049358 0.000872857
6607 4.788900 0.594035 1.763686 0.055038 0.000872857
6689 5.518735 0.776068 1.598885 0.039511 0.000872857
6747 5.718836 0.799064 1.683680 0.039838 0.000872857
6822 5.274910 0.680975 1.823751 0.046283 0.000872857
6881 5.382275 0.714817 1.749241 0.058950 0.000872857
6962 4.919788 0.634456 1.695920 0.051588 0.000872857
7027 5.746130 0.828552 1.561368 0.042004 0.000872857
7087 4.951505 0.639532 1.699413 0.054430 0.000872857
7161 6.046299 0.883738 1.587842 0.039769 0.000872857
7222 4.787238 0.657145 1.458956 0.042559 0.000872857
