epoch train_total val_total train_box val_box train_obj val_obj train_cls val_cls lr
1 7.191192 6.674767 1.033425 0.945283 1.949337 1.890456 0.074730 0.057895 0.001000000
2 6.330759 6.270184 0.883132 0.869440 1.858486 1.866889 0.056611 0.056092 0.000997288
3 5.961082 5.970053 0.821248 0.827065 1.800341 1.780792 0.054502 0.053937 0.000989183
4 5.727167 5.859612 0.782997 0.800102 1.759423 1.804958 0.052757 0.054144 0.000975773
5 5.549724 5.672248 0.754229 0.773457 1.727194 1.753389 0.051386 0.051576 0.000957205
6 5.407291 5.491485 0.731231 0.744429 1.700944 1.717932 0.050194 0.051408 0.000933683
7 5.282589 5.440635 0.711388 0.739662 1.676465 1.692358 0.049185 0.049966 0.000905463
8 5.173582 5.335702 0.694123 0.719884 1.654766 1.686953 0.048201 0.049329 0.000872857
9 5.071313 5.237897 0.678237 0.704827 1.632820 1.665259 0.047308 0.048505 0.000836220
10 4.970140 5.210578 0.662588 0.698552 1.610621 1.669812 0.046579 0.048005 0.000795954
11 4.904226 5.114009 0.652031 0.683440 1.598051 1.649429 0.046018 0.047381 0.000752500
12 4.801994 5.002742 0.636465 0.670420 1.574390 1.605049 0.045281 0.045593 0.000706335
13 4.712879 4.940784 0.623012 0.659519 1.553209 1.598269 0.044610 0.044918 0.000657963
14 4.632287 4.913572 0.611037 0.655123 1.533067 1.593030 0.044036 0.044929 0.000607916
15 4.549871 4.833116 0.598751 0.643429 1.512715 1.571570 0.043403 0.044402 0.000556742
16 4.473601 4.833115 0.587412 0.643005 1.493605 1.572690 0.042936 0.045400 0.000505000
17 4.386951 4.816361 0.574676 0.636900 1.471086 1.587870 0.042483 0.043989 0.000453258
18 4.310456 4.802552 0.563584 0.636194 1.450475 1.578438 0.042061 0.043142 0.000402084
19 4.235706 4.730903 0.552571 0.626384 1.431246 1.556054 0.041603 0.042930 0.000352037
20 4.155895 4.731751 0.541250 0.627074 1.408390 1.553550 0.041254 0.042832 0.000303665
21 4.079882 4.696832 0.530339 0.620328 1.387247 1.552522 0.040943 0.042667 0.000257500
22 4.007250 4.696859 0.520146 0.619083 1.365872 1.558834 0.040647 0.042611 0.000214046
23 3.936800 4.694147 0.510231 0.618492 1.345247 1.559185 0.040398 0.042504 0.000173780
24 3.875376 4.732157 0.501747 0.618414 1.326481 1.597627 0.040161 0.042461 0.000137143
25 3.818874 4.741836 0.493987 0.619025 1.308972 1.604439 0.039965 0.042273 0.000104537
26 3.771721 4.749178 0.487407 0.617690 1.294856 1.618275 0.039829 0.042454 0.000076317
27 3.730081 4.755250 0.481559 0.618412 1.282576 1.620904 0.039709 0.042286 0.000052795
28 3.699031 4.756196 0.477268 0.618052 1.273070 1.623607 0.039620 0.042328 0.000034227
29 3.678924 4.791945 0.474443 0.618455 1.267169 1.657347 0.039542 0.042323 0.000020817
30 3.665067 4.757571 0.472427 0.617814 1.263420 1.626101 0.039511 0.042401 0.000012712
