epoch train_improve val_improve
1 0.000000 0.000000
2 0.860433 0.404583
3 0.369677 0.300130
4 0.233915 0.110441
5 0.177443 0.187364
6 0.142433 0.180763
7 0.124702 0.050850
8 0.109007 0.104933
9 0.102269 0.097805
10 0.101172 0.027319
11 0.065915 0.096569
12 0.102232 0.111267
13 0.089116 0.061959
14 0.080592 0.027212
15 0.082416 0.080456
16 0.076270 0.000000
17 0.086650 0.016754
18 0.076495 0.013810
19 0.074749 0.071649
20 0.079812 -0.000849
21 0.076013 0.034920
22 0.072632 -0.000027
23 0.070450 0.002712
24 0.061424 -0.038010
25 0.056502 -0.009679
26 0.047153 -0.007342
27 0.041639 -0.006072
28 0.031050 -0.000946
29 0.020107 -0.035749
30 0.013856 0.034374
