epoch train_giou val_giou train_pos val_pos train_ignored val_ignored train_dropped val_dropped
1 0.483288 0.527358 26.164066 26.934601 87.006279 99.550400 0.331860 0.266400
2 0.558434 0.565280 26.912273 27.294201 116.202553 122.962601 0.204974 0.210000
3 0.589376 0.586468 27.173288 27.342800 131.607208 135.771805 0.168597 0.209000
4 0.608501 0.599949 27.322187 27.470400 140.372421 150.285797 0.152289 0.186800
5 0.622886 0.613272 27.411301 27.737000 146.147202 150.136795 0.142204 0.138400
6 0.634385 0.627786 27.493473 27.928600 150.042282 154.869003 0.130799 0.114000
7 0.644306 0.630169 27.563505 27.983601 155.059174 162.862396 0.123284 0.111200
8 0.652938 0.640058 27.611769 27.595800 158.246048 169.716400 0.118879 0.166000
9 0.660882 0.647587 27.658773 27.823601 161.983795 165.749603 0.112209 0.135000
10 0.668706 0.650724 27.706783 27.818199 162.691162 174.030594 0.107103 0.141600
11 0.673984 0.658280 27.725103 28.036800 165.613449 150.474792 0.107221 0.106200
12 0.681768 0.664790 27.775946 27.993999 168.701675 178.575195 0.100027 0.117600
13 0.688494 0.670240 27.819281 28.004200 171.943756 180.579803 0.095885 0.111000
14 0.694481 0.672439 27.849562 28.112600 174.518295 175.234604 0.092351 0.099400
15 0.700625 0.678286 27.885212 28.034800 176.384888 175.425995 0.088783 0.117200
16 0.706294 0.678498 27.920456 28.139999 178.336456 163.154602 0.084201 0.098800
17 0.712662 0.681550 27.948126 28.106400 180.410416 185.580399 0.082291 0.106200
18 0.718208 0.681903 27.979160 28.186800 183.302917 183.157196 0.078740 0.096600
19 0.723714 0.686808 28.002232 28.179199 186.323288 181.934998 0.076677 0.093200
20 0.729375 0.686463 28.023611 28.213200 188.280411 176.809601 0.075240 0.090600
21 0.734831 0.689836 28.047604 28.185600 190.687592 182.694595 0.072763 0.095400
22 0.739927 0.690459 28.066439 28.178200 192.318573 184.330795 0.071613 0.095800
23 0.744884 0.690754 28.084116 28.193399 194.513611 182.531204 0.069458 0.096600
24 0.749127 0.690793 28.102715 28.154800 195.776001 188.882996 0.069052 0.101200
25 0.753006 0.690488 28.115929 28.180799 197.119949 188.934601 0.067877 0.098600
26 0.756296 0.691155 28.127840 28.194799 197.804138 189.127594 0.066186 0.095800
27 0.759220 0.690794 28.137106 28.197001 198.301239 187.627197 0.065273 0.092000
28 0.761366 0.690974 28.142855 28.216400 199.020630 184.073196 0.064808 0.085800
29 0.762779 0.690772 28.148062 28.195601 199.551071 189.570999 0.064749 0.092800
30 0.763786 0.691093 28.151394 28.202999 199.631485 186.143997 0.064174 0.090800
