step total box obj cls lr
3 10.784943 1.353569 2.749478 1.267619 0.001000000
79 7.658418 1.086178 2.150875 0.076655 0.001000000
140 7.301003 1.037301 2.052922 0.061576 0.001000000
213 6.888472 0.949469 2.070055 0.071070 0.001000000
281 6.790964 0.922630 2.107592 0.070224 0.001000000
341 6.797091 0.945476 2.000001 0.069708 0.001000000
413 7.398129 1.088041 1.903610 0.054313 0.001000000
494 6.949128 0.992573 1.924700 0.061564 0.001000000
556 6.967186 0.998645 1.915703 0.058256 0.001000000
646 6.421886 0.893366 1.896994 0.058065 0.001000000
710 6.551254 0.886482 2.053052 0.065790 0.001000000
783 6.921257 0.982419 1.953480 0.055683 0.001000000
850 6.445746 0.913081 1.820061 0.060282 0.001000000
906 7.307460 1.070707 1.906341 0.047585 0.001000000
983 7.107071 1.054510 1.790544 0.043978 0.000997288
1057 7.024308 1.015506 1.888257 0.058523 0.000997288
1107 5.779147 0.778466 1.835270 0.051548 0.000997288
1196 6.450595 0.905743 1.864058 0.057824 0.000997288
1268 6.146700 0.813724 2.008678 0.069403 0.000997288
1337 5.686122 0.735421 1.950179 0.058839 0.000997288
1402 7.008115 1.036385 1.777419 0.048769 0.000997288
1477 6.158436 0.827617 1.968976 0.051377 0.000997288
1572 6.125330 0.822587 1.949472 0.062924 0.000997288
1628 6.679491 0.959264 1.831073 0.052097 0.000997288
1690 6.202053 0.864281 1.823168 0.057480 0.000997288
1748 5.404193 0.682240 1.934865 0.058129 0.000997288
1794 6.879464 0.984588 1.902067 0.054457 0.000997288
1880 6.001427 0.810056 1.894424 0.056721 0.000989183
1955 6.393166 0.907589 1.803150 0.052070 0.000989183
2021 6.089008 0.816116 1.955060 0.053366 0.000989183
2078 5.104299 0.644161 1.826492 0.057002 0.000989183
2154 5.630491 0.735764 1.885058 0.066614 0.000989183
2238 6.508954 0.934032 1.788171 0.050623 0.000989183
2315 6.356192 0.914641 1.736474 0.046514 0.000989183
2392 6.388690 0.938934 1.646630 0.047389 0.000989183
2458 5.967469 0.806612 1.866445 0.067964 0.000989183
2522 5.625090 0.746894 1.828024 0.062595 0.000989183
2593 6.531001 0.939459 1.781934 0.051772 0.000989183
2684 5.547434 0.745740 1.762382 0.056351 0.000989183
2771 5.942467 0.792145 1.929668 0.052071 0.000989183
2855 6.427152 0.895534 1.895509 0.053972 0.000975773
2924 5.783113 0.757097 1.938188 0.059441 0.000975773
2994 5.385039 0.712411 1.766871 0.056112 0.000975773
3062 5.251353 0.700636 1.685526 0.062646 0.000975773
3159 5.759132 0.763133 1.888560 0.054907 0.000975773
3215 5.259880 0.704615 1.685338 0.051468 0.000975773
3290 5.303353 0.689195 1.802680 0.054699 0.000975773
3370 5.784155 0.809882 1.684149 0.050597 0.000975773
3436 6.470466 0.934512 1.750793 0.047111 0.000975773
