starting yolov0 training
run id: deep_residual_three_box_dynamicassign_20260420_030501
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 28921951
parameter trainable: 28921951
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_dynamicassign_20260420_030501
output dir: outputs/deep_residual_three_box_dynamicassign_20260420_030501
epoch 001 | step 0001 | total = 5.6446 | box = 0.7588 | obj = 1.1235 | cls = 0.7269 | lr = 0.001000
epoch 001 | step 0020 | total = 4.3991 | box = 0.6806 | obj = 0.8437 | cls = 0.1525 | lr = 0.001000
epoch 001 | step 0040 | total = 4.0759 | box = 0.6359 | obj = 0.8511 | cls = 0.0450 | lr = 0.001000
epoch 001 | step 0060 | total = 4.1551 | box = 0.6631 | obj = 0.8088 | cls = 0.0310 | lr = 0.001000
epoch 001 | step 0080 | total = 4.1511 | box = 0.6637 | obj = 0.8049 | cls = 0.0278 | lr = 0.001000
epoch 001 | step 0100 | total = 4.0703 | box = 0.6436 | obj = 0.8245 | cls = 0.0278 | lr = 0.001000
epoch 001 | step 0120 | total = 4.0682 | box = 0.6453 | obj = 0.8141 | cls = 0.0276 | lr = 0.001000
epoch 001 | step 0140 | total = 4.0446 | box = 0.6437 | obj = 0.8000 | cls = 0.0263 | lr = 0.001000
epoch 001 | step 0160 | total = 3.9733 | box = 0.6246 | obj = 0.8225 | cls = 0.0277 | lr = 0.001000
epoch 001 | step 0180 | total = 3.9527 | box = 0.6229 | obj = 0.8114 | cls = 0.0269 | lr = 0.001000
epoch 001 | step 0200 | total = 3.8493 | box = 0.6001 | obj = 0.8215 | cls = 0.0274 | lr = 0.001000
epoch 001 | step 0220 | total = 3.9473 | box = 0.6214 | obj = 0.8148 | cls = 0.0256 | lr = 0.001000
epoch 001 | step 0240 | total = 3.9963 | box = 0.6352 | obj = 0.7950 | cls = 0.0252 | lr = 0.001000
epoch 001 | step 0260 | total = 3.8645 | box = 0.6042 | obj = 0.8171 | cls = 0.0265 | lr = 0.001000
epoch 001 | step 0280 | total = 3.9098 | box = 0.6151 | obj = 0.8090 | cls = 0.0254 | lr = 0.001000
epoch 001 | step 0300 | total = 3.8868 | box = 0.6115 | obj = 0.8029 | cls = 0.0263 | lr = 0.001000
epoch 001 | step 0320 | total = 3.8225 | box = 0.5950 | obj = 0.8204 | cls = 0.0273 | lr = 0.001000
epoch 001 | step 0340 | total = 3.8057 | box = 0.5926 | obj = 0.8165 | cls = 0.0263 | lr = 0.001000
epoch 001 | step 0360 | total = 3.8247 | box = 0.5984 | obj = 0.8060 | cls = 0.0268 | lr = 0.001000
epoch 001 | step 0380 | total = 3.7988 | box = 0.5936 | obj = 0.8047 | cls = 0.0259 | lr = 0.001000
epoch 001 | step 0400 | total = 3.7630 | box = 0.5863 | obj = 0.8057 | cls = 0.0260 | lr = 0.001000
epoch 001 | step 0420 | total = 3.8116 | box = 0.5930 | obj = 0.8205 | cls = 0.0259 | lr = 0.001000
epoch 001 | step 0440 | total = 3.7877 | box = 0.5905 | obj = 0.8096 | cls = 0.0255 | lr = 0.001000
epoch 001 | step 0460 | total = 3.7426 | box = 0.5834 | obj = 0.7994 | cls = 0.0264 | lr = 0.001000
epoch 001 | step 0480 | total = 3.7476 | box = 0.5826 | obj = 0.8090 | cls = 0.0254 | lr = 0.001000
[epoch 001 train] total = 3.9827 | box = 0.6245 | obj = 0.8163 | cls = 0.0441 | batches = 485 | time = 1357.6s
[epoch 001 val] total = 3.3808 | box = 0.4975 | obj = 0.8578 | cls = 0.0355 | batches = 43 | time = 94.9s
epoch 002 | step 0001 | total = 3.7996 | box = 0.5926 | obj = 0.8103 | cls = 0.0264 | lr = 0.000994
