starting yolov0 training
run id: deep_residual_three_box_dynamicassign_topk1_20260423_210757
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 28921951
parameter trainable: 28921951
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_dynamicassign_topk1_20260423_210757
output dir: outputs/deep_residual_three_box_dynamicassign_topk1_20260423_210757
resume checkpoint: /home/lidz/YOLO/yolov0/outputs/deep_residual_three_box_dynamicassign_topk1_20260421_184033/last.pth
resume start epoch: 3
resume best epoch: 2
resume best val loss: 3.196624478628469
epoch 003 | step 0001 | total = 3.6619 | box = 0.5588 | obj = 0.8414 | cls = 0.0264 | lr = 0.000976
epoch 003 | step 0020 | total = 3.7634 | box = 0.5783 | obj = 0.8455 | cls = 0.0264 | lr = 0.000976
epoch 003 | step 0040 | total = 3.6792 | box = 0.5575 | obj = 0.8636 | cls = 0.0279 | lr = 0.000976
epoch 003 | step 0060 | total = 3.7517 | box = 0.5776 | obj = 0.8369 | cls = 0.0265 | lr = 0.000976
epoch 003 | step 0080 | total = 3.8254 | box = 0.5942 | obj = 0.8288 | cls = 0.0255 | lr = 0.000976
epoch 003 | step 0100 | total = 3.6776 | box = 0.5566 | obj = 0.8672 | cls = 0.0274 | lr = 0.000976
epoch 003 | step 0120 | total = 3.7361 | box = 0.5717 | obj = 0.8505 | cls = 0.0269 | lr = 0.000976
epoch 003 | step 0140 | total = 3.7429 | box = 0.5755 | obj = 0.8394 | cls = 0.0260 | lr = 0.000976
epoch 003 | step 0160 | total = 3.6436 | box = 0.5505 | obj = 0.8630 | cls = 0.0279 | lr = 0.000976
epoch 003 | step 0180 | total = 3.6756 | box = 0.5596 | obj = 0.8499 | cls = 0.0278 | lr = 0.000976
epoch 003 | step 0200 | total = 3.5451 | box = 0.5341 | obj = 0.8474 | cls = 0.0271 | lr = 0.000976
epoch 003 | step 0220 | total = 3.6501 | box = 0.5546 | obj = 0.8509 | cls = 0.0264 | lr = 0.000976
