starting yolov0 training
run id: deep_residual_three_box_dynamicassign_varifocal_20260424_110543
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 28921951
parameter trainable: 28921951
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_dynamicassign_varifocal_20260424_110543
output dir: outputs/deep_residual_three_box_dynamicassign_varifocal_20260424_110543
epoch 001 | step 0001 | total = 8.9530 | box = 0.7588 | obj = 1.1235 | cls = 4.0353 | lr = 0.001000
epoch 001 | step 0020 | total = 4.5234 | box = 0.6811 | obj = 0.8382 | cls = 0.2795 | lr = 0.001000
epoch 001 | step 0040 | total = 4.0922 | box = 0.6429 | obj = 0.8424 | cls = 0.0354 | lr = 0.001000
epoch 001 | step 0060 | total = 4.1531 | box = 0.6659 | obj = 0.8040 | cls = 0.0197 | lr = 0.001000
epoch 001 | step 0080 | total = 4.1483 | box = 0.6664 | obj = 0.8001 | cls = 0.0162 | lr = 0.001000
epoch 001 | step 0100 | total = 4.0544 | box = 0.6419 | obj = 0.8292 | cls = 0.0156 | lr = 0.001000
epoch 001 | step 0120 | total = 4.0743 | box = 0.6466 | obj = 0.8266 | cls = 0.0148 | lr = 0.001000
epoch 001 | step 0140 | total = 4.0367 | box = 0.6432 | obj = 0.8065 | cls = 0.0144 | lr = 0.001000
epoch 001 | step 0160 | total = 3.9666 | box = 0.6264 | obj = 0.8195 | cls = 0.0149 | lr = 0.001000
epoch 001 | step 0180 | total = 3.9425 | box = 0.6229 | obj = 0.8144 | cls = 0.0137 | lr = 0.001000
epoch 001 | step 0200 | total = 3.8362 | box = 0.5984 | obj = 0.8301 | cls = 0.0140 | lr = 0.001000
epoch 001 | step 0220 | total = 3.9045 | box = 0.6129 | obj = 0.8272 | cls = 0.0128 | lr = 0.001000
epoch 001 | step 0240 | total = 3.9813 | box = 0.6335 | obj = 0.8020 | cls = 0.0118 | lr = 0.001000
epoch 001 | step 0260 | total = 3.8533 | box = 0.6055 | obj = 0.8132 | cls = 0.0123 | lr = 0.001000
epoch 001 | step 0280 | total = 3.8737 | box = 0.6090 | obj = 0.8167 | cls = 0.0119 | lr = 0.001000
epoch 001 | step 0300 | total = 3.8441 | box = 0.6047 | obj = 0.8082 | cls = 0.0124 | lr = 0.001000
epoch 001 | step 0320 | total = 3.8137 | box = 0.5966 | obj = 0.8189 | cls = 0.0120 | lr = 0.001000
epoch 001 | step 0340 | total = 3.8300 | box = 0.6012 | obj = 0.8119 | cls = 0.0120 | lr = 0.001000
epoch 001 | step 0360 | total = 3.8259 | box = 0.6030 | obj = 0.7995 | cls = 0.0116 | lr = 0.001000
epoch 001 | step 0380 | total = 3.7960 | box = 0.5952 | obj = 0.8080 | cls = 0.0118 | lr = 0.001000
epoch 001 | step 0400 | total = 3.7598 | box = 0.5886 | obj = 0.8053 | cls = 0.0116 | lr = 0.001000
epoch 001 | step 0420 | total = 3.8166 | box = 0.5985 | obj = 0.8130 | cls = 0.0111 | lr = 0.001000
epoch 001 | step 0440 | total = 3.7906 | box = 0.5942 | obj = 0.8082 | cls = 0.0114 | lr = 0.001000
epoch 001 | step 0460 | total = 3.7417 | box = 0.5852 | obj = 0.8037 | cls = 0.0119 | lr = 0.001000
epoch 001 | step 0480 | total = 3.7328 | box = 0.5824 | obj = 0.8096 | cls = 0.0114 | lr = 0.001000
[epoch 001 train] total = 4.0231 | box = 0.6248 | obj = 0.8169 | cls = 0.0824 | batches = 485 | time = 1367.0s
[epoch 001 val] total = 3.3340 | box = 0.4954 | obj = 0.8402 | cls = 0.0167 | batches = 43 | time = 111.8s
epoch 002 | step 0001 | total = 3.7649 | box = 0.5886 | obj = 0.8102 | cls = 0.0116 | lr = 0.000994
epoch 002 | step 0020 | total = 3.6929 | box = 0.5727 | obj = 0.8167 | cls = 0.0124 | lr = 0.000994
epoch 002 | step 0040 | total = 3.8167 | box = 0.6002 | obj = 0.8047 | cls = 0.0108 | lr = 0.000994
epoch 002 | step 0060 | total = 3.6432 | box = 0.5629 | obj = 0.8171 | cls = 0.0116 | lr = 0.000994
epoch 002 | step 0080 | total = 3.7083 | box = 0.5794 | obj = 0.7997 | cls = 0.0115 | lr = 0.000994
epoch 002 | step 0100 | total = 3.7129 | box = 0.5751 | obj = 0.8257 | cls = 0.0115 | lr = 0.000994
epoch 002 | step 0120 | total = 3.7189 | box = 0.5771 | obj = 0.8219 | cls = 0.0116 | lr = 0.000994
epoch 002 | step 0140 | total = 3.7514 | box = 0.5876 | obj = 0.8025 | cls = 0.0109 | lr = 0.000994
epoch 002 | step 0160 | total = 3.7533 | box = 0.5894 | obj = 0.7948 | cls = 0.0115 | lr = 0.000994
epoch 002 | step 0180 | total = 3.6935 | box = 0.5747 | obj = 0.8080 | cls = 0.0119 | lr = 0.000994
epoch 002 | step 0200 | total = 3.5866 | box = 0.5513 | obj = 0.8173 | cls = 0.0129 | lr = 0.000994
epoch 002 | step 0220 | total = 3.6869 | box = 0.5734 | obj = 0.8083 | cls = 0.0115 | lr = 0.000994
epoch 002 | step 0240 | total = 3.6733 | box = 0.5732 | obj = 0.7952 | cls = 0.0120 | lr = 0.000994
epoch 002 | step 0260 | total = 3.6891 | box = 0.5751 | obj = 0.8022 | cls = 0.0113 | lr = 0.000994
epoch 002 | step 0280 | total = 3.7263 | box = 0.5834 | obj = 0.7979 | cls = 0.0116 | lr = 0.000994
epoch 002 | step 0300 | total = 3.6434 | box = 0.5645 | obj = 0.8095 | cls = 0.0117 | lr = 0.000994
epoch 002 | step 0320 | total = 3.6816 | box = 0.5735 | obj = 0.8024 | cls = 0.0116 | lr = 0.000994
epoch 002 | step 0340 | total = 3.7107 | box = 0.5806 | obj = 0.7967 | cls = 0.0109 | lr = 0.000994
epoch 002 | step 0360 | total = 3.6184 | box = 0.5587 | obj = 0.8132 | cls = 0.0116 | lr = 0.000994
epoch 002 | step 0380 | total = 3.5987 | box = 0.5567 | obj = 0.8032 | cls = 0.0119 | lr = 0.000994
epoch 002 | step 0400 | total = 3.6190 | box = 0.5609 | obj = 0.8031 | cls = 0.0115 | lr = 0.000994
epoch 002 | step 0420 | total = 3.5532 | box = 0.5437 | obj = 0.8221 | cls = 0.0127 | lr = 0.000994
epoch 002 | step 0440 | total = 3.5716 | box = 0.5506 | obj = 0.8074 | cls = 0.0114 | lr = 0.000994
epoch 002 | step 0460 | total = 3.6214 | box = 0.5630 | obj = 0.7945 | cls = 0.0119 | lr = 0.000994
epoch 002 | step 0480 | total = 3.5452 | box = 0.5468 | obj = 0.7997 | cls = 0.0118 | lr = 0.000994
[epoch 002 train] total = 3.6611 | box = 0.5685 | obj = 0.8071 | cls = 0.0117 | batches = 485 | time = 1393.8s
[epoch 002 val] total = 3.1810 | box = 0.4678 | obj = 0.8242 | cls = 0.0180 | batches = 43 | time = 94.9s
epoch 003 | step 0001 | total = 3.5710 | box = 0.5512 | obj = 0.8031 | cls = 0.0119 | lr = 0.000976
epoch 003 | step 0020 | total = 3.5973 | box = 0.5589 | obj = 0.7918 | cls = 0.0112 | lr = 0.000976
epoch 003 | step 0040 | total = 3.4339 | box = 0.5232 | obj = 0.8050 | cls = 0.0129 | lr = 0.000976
epoch 003 | step 0060 | total = 3.6004 | box = 0.5587 | obj = 0.7953 | cls = 0.0117 | lr = 0.000976
epoch 003 | step 0080 | total = 3.4961 | box = 0.5321 | obj = 0.8233 | cls = 0.0124 | lr = 0.000976
epoch 003 | step 0100 | total = 3.5469 | box = 0.5474 | obj = 0.7974 | cls = 0.0123 | lr = 0.000976
epoch 003 | step 0120 | total = 3.5933 | box = 0.5571 | obj = 0.7965 | cls = 0.0111 | lr = 0.000976
epoch 003 | step 0140 | total = 3.5526 | box = 0.5507 | obj = 0.7873 | cls = 0.0120 | lr = 0.000976
epoch 003 | step 0160 | total = 3.4946 | box = 0.5379 | obj = 0.7929 | cls = 0.0124 | lr = 0.000976
epoch 003 | step 0180 | total = 3.5813 | box = 0.5564 | obj = 0.7880 | cls = 0.0115 | lr = 0.000976
epoch 003 | step 0200 | total = 3.5305 | box = 0.5450 | obj = 0.7936 | cls = 0.0121 | lr = 0.000976
epoch 003 | step 0220 | total = 3.3929 | box = 0.5112 | obj = 0.8238 | cls = 0.0133 | lr = 0.000976
epoch 003 | step 0240 | total = 3.4046 | box = 0.5144 | obj = 0.8194 | cls = 0.0132 | lr = 0.000976
epoch 003 | step 0260 | total = 3.4585 | box = 0.5294 | obj = 0.7994 | cls = 0.0122 | lr = 0.000976
epoch 003 | step 0280 | total = 3.4798 | box = 0.5328 | obj = 0.8040 | cls = 0.0121 | lr = 0.000976
epoch 003 | step 0300 | total = 3.4617 | box = 0.5303 | obj = 0.7975 | cls = 0.0125 | lr = 0.000976
epoch 003 | step 0320 | total = 3.4713 | box = 0.5322 | obj = 0.7979 | cls = 0.0123 | lr = 0.000976
epoch 003 | step 0340 | total = 3.3301 | box = 0.4983 | obj = 0.8249 | cls = 0.0135 | lr = 0.000976
epoch 003 | step 0360 | total = 3.4283 | box = 0.5261 | obj = 0.7854 | cls = 0.0126 | lr = 0.000976
epoch 003 | step 0380 | total = 3.5063 | box = 0.5410 | obj = 0.7897 | cls = 0.0118 | lr = 0.000976
epoch 003 | step 0400 | total = 3.4513 | box = 0.5297 | obj = 0.7905 | cls = 0.0122 | lr = 0.000976
epoch 003 | step 0420 | total = 3.5165 | box = 0.5433 | obj = 0.7884 | cls = 0.0116 | lr = 0.000976
epoch 003 | step 0440 | total = 3.4852 | box = 0.5358 | obj = 0.7941 | cls = 0.0119 | lr = 0.000976
epoch 003 | step 0460 | total = 3.4749 | box = 0.5344 | obj = 0.7909 | cls = 0.0118 | lr = 0.000976
epoch 003 | step 0480 | total = 3.6247 | box = 0.5659 | obj = 0.7843 | cls = 0.0107 | lr = 0.000976
[epoch 003 train] total = 3.4990 | box = 0.5376 | obj = 0.7988 | cls = 0.0121 | batches = 485 | time = 1415.9s
[epoch 003 val] total = 2.9809 | box = 0.4320 | obj = 0.8019 | cls = 0.0191 | batches = 43 | time = 98.0s
epoch 004 | step 0001 | total = 3.4966 | box = 0.5353 | obj = 0.8082 | cls = 0.0118 | lr = 0.000946
epoch 004 | step 0020 | total = 3.3790 | box = 0.5134 | obj = 0.7992 | cls = 0.0126 | lr = 0.000946
epoch 004 | step 0040 | total = 3.4247 | box = 0.5226 | obj = 0.7994 | cls = 0.0125 | lr = 0.000946
epoch 004 | step 0060 | total = 3.4384 | box = 0.5237 | obj = 0.8077 | cls = 0.0122 | lr = 0.000946
epoch 004 | step 0080 | total = 3.3997 | box = 0.5176 | obj = 0.7992 | cls = 0.0124 | lr = 0.000946
epoch 004 | step 0100 | total = 3.3467 | box = 0.5080 | obj = 0.7939 | cls = 0.0126 | lr = 0.000946
epoch 004 | step 0120 | total = 3.3212 | box = 0.5005 | obj = 0.8059 | cls = 0.0127 | lr = 0.000946
epoch 004 | step 0140 | total = 3.3724 | box = 0.5122 | obj = 0.7991 | cls = 0.0126 | lr = 0.000946
epoch 004 | step 0160 | total = 3.4328 | box = 0.5256 | obj = 0.7931 | cls = 0.0119 | lr = 0.000946
epoch 004 | step 0180 | total = 3.3409 | box = 0.5052 | obj = 0.8017 | cls = 0.0131 | lr = 0.000946
epoch 004 | step 0200 | total = 3.3354 | box = 0.5037 | obj = 0.8044 | cls = 0.0126 | lr = 0.000946
epoch 004 | step 0220 | total = 3.4411 | box = 0.5265 | obj = 0.7964 | cls = 0.0119 | lr = 0.000946
epoch 004 | step 0240 | total = 3.4036 | box = 0.5186 | obj = 0.7984 | cls = 0.0124 | lr = 0.000946
epoch 004 | step 0260 | total = 3.3993 | box = 0.5182 | obj = 0.7960 | cls = 0.0123 | lr = 0.000946
epoch 004 | step 0280 | total = 3.4212 | box = 0.5232 | obj = 0.7933 | cls = 0.0120 | lr = 0.000946
epoch 004 | step 0300 | total = 3.3730 | box = 0.5137 | obj = 0.7919 | cls = 0.0126 | lr = 0.000946
epoch 004 | step 0320 | total = 3.3254 | box = 0.5034 | obj = 0.7960 | cls = 0.0124 | lr = 0.000946
epoch 004 | step 0340 | total = 3.3010 | box = 0.4993 | obj = 0.7913 | cls = 0.0130 | lr = 0.000946
epoch 004 | step 0360 | total = 3.2061 | box = 0.4809 | obj = 0.7879 | cls = 0.0137 | lr = 0.000946
epoch 004 | step 0380 | total = 3.2657 | box = 0.4930 | obj = 0.7873 | cls = 0.0135 | lr = 0.000946
epoch 004 | step 0400 | total = 3.2459 | box = 0.4875 | obj = 0.7948 | cls = 0.0134 | lr = 0.000946
epoch 004 | step 0420 | total = 3.3859 | box = 0.5156 | obj = 0.7958 | cls = 0.0121 | lr = 0.000946
epoch 004 | step 0440 | total = 3.2932 | box = 0.4993 | obj = 0.7838 | cls = 0.0127 | lr = 0.000946
epoch 004 | step 0460 | total = 3.2869 | box = 0.4945 | obj = 0.8017 | cls = 0.0127 | lr = 0.000946
epoch 004 | step 0480 | total = 3.3422 | box = 0.5070 | obj = 0.7951 | cls = 0.0124 | lr = 0.000946
[epoch 004 train] total = 3.3761 | box = 0.5142 | obj = 0.7924 | cls = 0.0124 | batches = 485 | time = 1453.6s
[epoch 004 val] total = 2.9160 | box = 0.4206 | obj = 0.7946 | cls = 0.0183 | batches = 43 | time = 99.1s
epoch 005 | step 0001 | total = 3.3471 | box = 0.5093 | obj = 0.7881 | cls = 0.0126 | lr = 0.000905
epoch 005 | step 0020 | total = 3.2212 | box = 0.4816 | obj = 0.8001 | cls = 0.0132 | lr = 0.000905
epoch 005 | step 0040 | total = 3.3587 | box = 0.5122 | obj = 0.7850 | cls = 0.0127 | lr = 0.000905
epoch 005 | step 0060 | total = 3.3331 | box = 0.5057 | obj = 0.7926 | cls = 0.0122 | lr = 0.000905
epoch 005 | step 0080 | total = 3.2729 | box = 0.4947 | obj = 0.7862 | cls = 0.0130 | lr = 0.000905
epoch 005 | step 0100 | total = 3.1922 | box = 0.4773 | obj = 0.7924 | cls = 0.0135 | lr = 0.000905
epoch 005 | step 0120 | total = 3.2812 | box = 0.4965 | obj = 0.7858 | cls = 0.0128 | lr = 0.000905
epoch 005 | step 0140 | total = 3.4109 | box = 0.5240 | obj = 0.7789 | cls = 0.0117 | lr = 0.000905
epoch 005 | step 0160 | total = 3.3000 | box = 0.5012 | obj = 0.7816 | cls = 0.0125 | lr = 0.000905
