starting yolov0 training
run id: deep_residual_three_box_qualitycls_decoupled_20260420_014124
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 28921951
parameter trainable: 28921951
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_qualitycls_decoupled_20260420_014124
output dir: outputs/deep_residual_three_box_qualitycls_decoupled_20260420_014124
epoch 001 | step 0001 | total = 6.3136 | box = 0.8926 | obj = 1.1197 | cls = 0.7307 | lr = 0.001000
epoch 001 | step 0020 | total = 4.5329 | box = 0.7140 | obj = 0.8268 | cls = 0.1363 | lr = 0.001000
epoch 001 | step 0040 | total = 4.2549 | box = 0.6850 | obj = 0.7853 | cls = 0.0444 | lr = 0.001000
epoch 001 | step 0060 | total = 4.3211 | box = 0.7072 | obj = 0.7539 | cls = 0.0310 | lr = 0.001000
epoch 001 | step 0080 | total = 4.3553 | box = 0.7184 | obj = 0.7372 | cls = 0.0259 | lr = 0.001000
epoch 001 | step 0100 | total = 4.2232 | box = 0.6846 | obj = 0.7737 | cls = 0.0266 | lr = 0.001000
epoch 001 | step 0120 | total = 4.2321 | box = 0.6875 | obj = 0.7682 | cls = 0.0266 | lr = 0.001000
epoch 001 | step 0140 | total = 4.2555 | box = 0.6966 | obj = 0.7482 | cls = 0.0244 | lr = 0.001000
epoch 001 | step 0160 | total = 4.1646 | box = 0.6732 | obj = 0.7732 | cls = 0.0256 | lr = 0.001000
epoch 001 | step 0180 | total = 4.1421 | box = 0.6702 | obj = 0.7661 | cls = 0.0250 | lr = 0.001000
epoch 001 | step 0200 | total = 4.0875 | box = 0.6567 | obj = 0.7784 | cls = 0.0254 | lr = 0.001000
epoch 001 | step 0220 | total = 4.1266 | box = 0.6681 | obj = 0.7622 | cls = 0.0239 | lr = 0.001000
epoch 001 | step 0240 | total = 4.1852 | box = 0.6848 | obj = 0.7379 | cls = 0.0233 | lr = 0.001000
epoch 001 | step 0260 | total = 4.0605 | box = 0.6554 | obj = 0.7590 | cls = 0.0244 | lr = 0.001000
epoch 001 | step 0280 | total = 4.1113 | box = 0.6680 | obj = 0.7477 | cls = 0.0234 | lr = 0.001000
epoch 001 | step 0300 | total = 4.0696 | box = 0.6607 | obj = 0.7419 | cls = 0.0244 | lr = 0.001000
epoch 001 | step 0320 | total = 4.0227 | box = 0.6472 | obj = 0.7615 | cls = 0.0250 | lr = 0.001000
epoch 001 | step 0340 | total = 3.9909 | box = 0.6425 | obj = 0.7544 | cls = 0.0240 | lr = 0.001000
epoch 001 | step 0360 | total = 4.0144 | box = 0.6498 | obj = 0.7409 | cls = 0.0248 | lr = 0.001000
epoch 001 | step 0380 | total = 3.9627 | box = 0.6398 | obj = 0.7394 | cls = 0.0241 | lr = 0.001000
epoch 001 | step 0400 | total = 3.9388 | box = 0.6346 | obj = 0.7414 | cls = 0.0244 | lr = 0.001000
epoch 001 | step 0420 | total = 3.9646 | box = 0.6395 | obj = 0.7432 | cls = 0.0238 | lr = 0.001000
epoch 001 | step 0440 | total = 3.9469 | box = 0.6362 | obj = 0.7419 | cls = 0.0239 | lr = 0.001000
epoch 001 | step 0460 | total = 3.8943 | box = 0.6253 | obj = 0.7423 | cls = 0.0252 | lr = 0.001000
epoch 001 | step 0480 | total = 3.9379 | box = 0.6367 | obj = 0.7310 | cls = 0.0234 | lr = 0.001000
[epoch 001 train] total = 4.1610 | box = 0.6714 | obj = 0.7617 | cls = 0.0424 | batches = 485 | time = 225.7s
[epoch 001 val] total = 3.5359 | box = 0.5444 | obj = 0.7807 | cls = 0.0335 | batches = 43 | time = 22.7s
epoch 002 | step 0001 | total = 3.9328 | box = 0.6348 | obj = 0.7343 | cls = 0.0244 | lr = 0.000994
epoch 002 | step 0020 | total = 3.8419 | box = 0.6146 | obj = 0.7427 | cls = 0.0260 | lr = 0.000994
epoch 002 | step 0040 | total = 3.9844 | box = 0.6454 | obj = 0.7337 | cls = 0.0238 | lr = 0.000994
epoch 002 | step 0060 | total = 3.8193 | box = 0.6116 | obj = 0.7367 | cls = 0.0245 | lr = 0.000994
epoch 002 | step 0080 | total = 3.8330 | box = 0.6162 | obj = 0.7280 | cls = 0.0239 | lr = 0.000994
epoch 002 | step 0100 | total = 3.8282 | box = 0.6131 | obj = 0.7384 | cls = 0.0241 | lr = 0.000994
epoch 002 | step 0120 | total = 3.8490 | box = 0.6170 | obj = 0.7400 | cls = 0.0241 | lr = 0.000994
epoch 002 | step 0140 | total = 3.9037 | box = 0.6318 | obj = 0.7215 | cls = 0.0234 | lr = 0.000994
epoch 002 | step 0160 | total = 3.8691 | box = 0.6272 | obj = 0.7101 | cls = 0.0229 | lr = 0.000994
epoch 002 | step 0180 | total = 3.8388 | box = 0.6189 | obj = 0.7208 | cls = 0.0233 | lr = 0.000994
epoch 002 | step 0200 | total = 3.7246 | box = 0.5908 | obj = 0.7449 | cls = 0.0257 | lr = 0.000994
epoch 002 | step 0220 | total = 3.8089 | box = 0.6127 | obj = 0.7216 | cls = 0.0238 | lr = 0.000994
epoch 002 | step 0240 | total = 3.8073 | box = 0.6148 | obj = 0.7102 | cls = 0.0232 | lr = 0.000994
epoch 002 | step 0260 | total = 3.8584 | box = 0.6247 | obj = 0.7115 | cls = 0.0233 | lr = 0.000994
epoch 002 | step 0280 | total = 3.8232 | box = 0.6176 | obj = 0.7121 | cls = 0.0232 | lr = 0.000994
epoch 002 | step 0300 | total = 3.7515 | box = 0.6008 | obj = 0.7237 | cls = 0.0240 | lr = 0.000994
epoch 002 | step 0320 | total = 3.7939 | box = 0.6108 | obj = 0.7158 | cls = 0.0239 | lr = 0.000994
epoch 002 | step 0340 | total = 3.8005 | box = 0.6127 | obj = 0.7141 | cls = 0.0227 | lr = 0.000994
epoch 002 | step 0360 | total = 3.6982 | box = 0.5897 | obj = 0.7250 | cls = 0.0248 | lr = 0.000994
epoch 002 | step 0380 | total = 3.7206 | box = 0.5961 | obj = 0.7165 | cls = 0.0238 | lr = 0.000994
epoch 002 | step 0400 | total = 3.7710 | box = 0.6060 | obj = 0.7189 | cls = 0.0222 | lr = 0.000994
epoch 002 | step 0420 | total = 3.6522 | box = 0.5804 | obj = 0.7251 | cls = 0.0249 | lr = 0.000994
epoch 002 | step 0440 | total = 3.6517 | box = 0.5796 | obj = 0.7301 | cls = 0.0238 | lr = 0.000994
epoch 002 | step 0460 | total = 3.7152 | box = 0.5964 | obj = 0.7095 | cls = 0.0237 | lr = 0.000994
epoch 002 | step 0480 | total = 3.6616 | box = 0.5831 | obj = 0.7218 | cls = 0.0242 | lr = 0.000994
[epoch 002 train] total = 3.7824 | box = 0.6063 | obj = 0.7266 | cls = 0.0241 | batches = 485 | time = 198.4s
[epoch 002 val] total = 3.2148 | box = 0.4885 | obj = 0.7364 | cls = 0.0361 | batches = 43 | time = 15.0s
epoch 003 | step 0001 | total = 3.6365 | box = 0.5783 | obj = 0.7210 | cls = 0.0238 | lr = 0.000976
epoch 003 | step 0020 | total = 3.7056 | box = 0.5949 | obj = 0.7075 | cls = 0.0235 | lr = 0.000976
epoch 003 | step 0040 | total = 3.5409 | box = 0.5580 | obj = 0.7263 | cls = 0.0245 | lr = 0.000976
epoch 003 | step 0060 | total = 3.6450 | box = 0.5809 | obj = 0.7160 | cls = 0.0243 | lr = 0.000976
epoch 003 | step 0080 | total = 3.5720 | box = 0.5633 | obj = 0.7306 | cls = 0.0250 | lr = 0.000976
epoch 003 | step 0100 | total = 3.5880 | box = 0.5702 | obj = 0.7125 | cls = 0.0242 | lr = 0.000976
epoch 003 | step 0120 | total = 3.7105 | box = 0.5945 | obj = 0.7156 | cls = 0.0223 | lr = 0.000976
epoch 003 | step 0140 | total = 3.6576 | box = 0.5865 | obj = 0.7022 | cls = 0.0229 | lr = 0.000976
epoch 003 | step 0160 | total = 3.5962 | box = 0.5730 | obj = 0.7063 | cls = 0.0246 | lr = 0.000976
epoch 003 | step 0180 | total = 3.6940 | box = 0.5928 | obj = 0.7076 | cls = 0.0226 | lr = 0.000976
epoch 003 | step 0200 | total = 3.6348 | box = 0.5797 | obj = 0.7128 | cls = 0.0234 | lr = 0.000976
epoch 003 | step 0220 | total = 3.4938 | box = 0.5499 | obj = 0.7195 | cls = 0.0248 | lr = 0.000976
epoch 003 | step 0240 | total = 3.4489 | box = 0.5374 | obj = 0.7359 | cls = 0.0258 | lr = 0.000976
epoch 003 | step 0260 | total = 3.4999 | box = 0.5556 | obj = 0.6981 | cls = 0.0236 | lr = 0.000976
epoch 003 | step 0280 | total = 3.5894 | box = 0.5705 | obj = 0.7136 | cls = 0.0231 | lr = 0.000976
epoch 003 | step 0300 | total = 3.5393 | box = 0.5609 | obj = 0.7108 | cls = 0.0239 | lr = 0.000976
epoch 003 | step 0320 | total = 3.5424 | box = 0.5615 | obj = 0.7116 | cls = 0.0234 | lr = 0.000976
epoch 003 | step 0340 | total = 3.4276 | box = 0.5326 | obj = 0.7396 | cls = 0.0248 | lr = 0.000976
epoch 003 | step 0360 | total = 3.5282 | box = 0.5575 | obj = 0.7167 | cls = 0.0242 | lr = 0.000976
epoch 003 | step 0380 | total = 3.6217 | box = 0.5804 | obj = 0.6973 | cls = 0.0225 | lr = 0.000976
epoch 003 | step 0400 | total = 3.6115 | box = 0.5774 | obj = 0.7014 | cls = 0.0229 | lr = 0.000976
epoch 003 | step 0420 | total = 3.6508 | box = 0.5857 | obj = 0.6999 | cls = 0.0225 | lr = 0.000976
epoch 003 | step 0440 | total = 3.6258 | box = 0.5802 | obj = 0.7018 | cls = 0.0231 | lr = 0.000976
epoch 003 | step 0460 | total = 3.5877 | box = 0.5708 | obj = 0.7112 | cls = 0.0228 | lr = 0.000976
