starting yolov0 training
run id: deep_residual_three_box_qualitycls_20260420_001813
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 26560607
parameter trainable: 26560607
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_qualitycls_20260420_001813
output dir: outputs/deep_residual_three_box_qualitycls_20260420_001813
epoch 001 | step 0001 | total = 6.3871 | box = 0.9190 | obj = 1.0674 | cls = 0.7245 | lr = 0.001000
epoch 001 | step 0020 | total = 4.9042 | box = 0.7228 | obj = 0.8731 | cls = 0.4171 | lr = 0.001000
epoch 001 | step 0040 | total = 4.3980 | box = 0.6946 | obj = 0.8020 | cls = 0.1232 | lr = 0.001000
epoch 001 | step 0060 | total = 4.3661 | box = 0.7079 | obj = 0.7649 | cls = 0.0619 | lr = 0.001000
epoch 001 | step 0080 | total = 4.2953 | box = 0.6986 | obj = 0.7616 | cls = 0.0405 | lr = 0.001000
epoch 001 | step 0100 | total = 4.2207 | box = 0.6851 | obj = 0.7607 | cls = 0.0343 | lr = 0.001000
epoch 001 | step 0120 | total = 4.2505 | box = 0.6931 | obj = 0.7530 | cls = 0.0318 | lr = 0.001000
epoch 001 | step 0140 | total = 4.1301 | box = 0.6699 | obj = 0.7489 | cls = 0.0316 | lr = 0.001000
epoch 001 | step 0160 | total = 4.1763 | box = 0.6796 | obj = 0.7495 | cls = 0.0291 | lr = 0.001000
epoch 001 | step 0180 | total = 4.0726 | box = 0.6588 | obj = 0.7502 | cls = 0.0283 | lr = 0.001000
epoch 001 | step 0200 | total = 4.0711 | box = 0.6564 | obj = 0.7616 | cls = 0.0274 | lr = 0.001000
epoch 001 | step 0220 | total = 4.0507 | box = 0.6506 | obj = 0.7703 | cls = 0.0274 | lr = 0.001000
epoch 001 | step 0240 | total = 4.0803 | box = 0.6610 | obj = 0.7488 | cls = 0.0262 | lr = 0.001000
epoch 001 | step 0260 | total = 4.0082 | box = 0.6449 | obj = 0.7578 | cls = 0.0258 | lr = 0.001000
epoch 001 | step 0280 | total = 4.0427 | box = 0.6523 | obj = 0.7544 | cls = 0.0270 | lr = 0.001000
epoch 001 | step 0300 | total = 4.0274 | box = 0.6517 | obj = 0.7425 | cls = 0.0263 | lr = 0.001000
epoch 001 | step 0320 | total = 3.9851 | box = 0.6441 | obj = 0.7393 | cls = 0.0255 | lr = 0.001000
epoch 001 | step 0340 | total = 4.0297 | box = 0.6512 | obj = 0.7484 | cls = 0.0251 | lr = 0.001000
epoch 001 | step 0360 | total = 4.0183 | box = 0.6513 | obj = 0.7359 | cls = 0.0256 | lr = 0.001000
epoch 001 | step 0380 | total = 3.8781 | box = 0.6192 | obj = 0.7548 | cls = 0.0272 | lr = 0.001000
epoch 001 | step 0400 | total = 3.8670 | box = 0.6152 | obj = 0.7636 | cls = 0.0272 | lr = 0.001000
epoch 001 | step 0420 | total = 3.9649 | box = 0.6435 | obj = 0.7215 | cls = 0.0259 | lr = 0.001000
epoch 001 | step 0440 | total = 3.9788 | box = 0.6429 | obj = 0.7388 | cls = 0.0255 | lr = 0.001000
epoch 001 | step 0460 | total = 3.9218 | box = 0.6281 | obj = 0.7550 | cls = 0.0263 | lr = 0.001000
epoch 001 | step 0480 | total = 3.9424 | box = 0.6376 | obj = 0.7288 | cls = 0.0254 | lr = 0.001000
[epoch 001 train] total = 4.1469 | box = 0.6646 | obj = 0.7633 | cls = 0.0608 | batches = 485 | time = 215.4s
[epoch 001 val] total = 3.5033 | box = 0.5356 | obj = 0.7905 | cls = 0.0346 | batches = 43 | time = 20.1s
epoch 002 | step 0001 | total = 3.7720 | box = 0.5947 | obj = 0.7706 | cls = 0.0279 | lr = 0.000994
epoch 002 | step 0020 | total = 3.8817 | box = 0.6222 | obj = 0.7439 | cls = 0.0266 | lr = 0.000994
epoch 002 | step 0040 | total = 3.8474 | box = 0.6171 | obj = 0.7357 | cls = 0.0262 | lr = 0.000994
epoch 002 | step 0060 | total = 3.9634 | box = 0.6422 | obj = 0.7273 | cls = 0.0250 | lr = 0.000994
epoch 002 | step 0080 | total = 3.9132 | box = 0.6305 | obj = 0.7353 | cls = 0.0252 | lr = 0.000994
epoch 002 | step 0100 | total = 3.7999 | box = 0.6065 | obj = 0.7401 | cls = 0.0275 | lr = 0.000994
epoch 002 | step 0120 | total = 3.7359 | box = 0.5922 | obj = 0.7478 | cls = 0.0273 | lr = 0.000994
