starting yolov0 training
run id: deep_residual_three_box_v5box_softobj_assign_20260419_152713
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 26560607
parameter trainable: 26560607
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_v5box_softobj_assign_20260419_152713
output dir: outputs/deep_residual_three_box_v5box_softobj_assign_20260419_152713
epoch 001 | step 0001 | total = 6.3804 | box = 0.9177 | obj = 1.0678 | cls = 0.7240 | lr = 0.001000
epoch 001 | step 0020 | total = 4.8549 | box = 0.7270 | obj = 0.8365 | cls = 0.3833 | lr = 0.001000
epoch 001 | step 0040 | total = 4.4040 | box = 0.6974 | obj = 0.7848 | cls = 0.1325 | lr = 0.001000
epoch 001 | step 0060 | total = 4.4039 | box = 0.7152 | obj = 0.7459 | cls = 0.0819 | lr = 0.001000
epoch 001 | step 0080 | total = 4.3409 | box = 0.7055 | obj = 0.7486 | cls = 0.0648 | lr = 0.001000
epoch 001 | step 0100 | total = 4.3080 | box = 0.6997 | obj = 0.7490 | cls = 0.0606 | lr = 0.001000
epoch 001 | step 0120 | total = 4.3244 | box = 0.7042 | obj = 0.7460 | cls = 0.0574 | lr = 0.001000
epoch 001 | step 0140 | total = 4.2274 | box = 0.6857 | obj = 0.7415 | cls = 0.0573 | lr = 0.001000
epoch 001 | step 0160 | total = 4.2271 | box = 0.6844 | obj = 0.7478 | cls = 0.0574 | lr = 0.001000
epoch 001 | step 0180 | total = 4.1576 | box = 0.6717 | obj = 0.7445 | cls = 0.0546 | lr = 0.001000
epoch 001 | step 0200 | total = 4.1658 | box = 0.6714 | obj = 0.7527 | cls = 0.0564 | lr = 0.001000
epoch 001 | step 0220 | total = 4.0990 | box = 0.6553 | obj = 0.7678 | cls = 0.0546 | lr = 0.001000
epoch 001 | step 0240 | total = 4.1238 | box = 0.6658 | obj = 0.7414 | cls = 0.0535 | lr = 0.001000
epoch 001 | step 0260 | total = 4.0380 | box = 0.6482 | obj = 0.7438 | cls = 0.0530 | lr = 0.001000
epoch 001 | step 0280 | total = 4.0848 | box = 0.6569 | obj = 0.7452 | cls = 0.0553 | lr = 0.001000
epoch 001 | step 0300 | total = 4.0966 | box = 0.6614 | obj = 0.7344 | cls = 0.0550 | lr = 0.001000
epoch 001 | step 0320 | total = 4.0343 | box = 0.6492 | obj = 0.7347 | cls = 0.0536 | lr = 0.001000
epoch 001 | step 0340 | total = 4.0585 | box = 0.6521 | obj = 0.7453 | cls = 0.0528 | lr = 0.001000
epoch 001 | step 0360 | total = 4.0674 | box = 0.6572 | obj = 0.7261 | cls = 0.0555 | lr = 0.001000
epoch 001 | step 0380 | total = 3.9048 | box = 0.6198 | obj = 0.7523 | cls = 0.0535 | lr = 0.001000
epoch 001 | step 0400 | total = 3.9070 | box = 0.6182 | obj = 0.7619 | cls = 0.0539 | lr = 0.001000
epoch 001 | step 0420 | total = 3.9970 | box = 0.6461 | obj = 0.7139 | cls = 0.0524 | lr = 0.001000
epoch 001 | step 0440 | total = 4.0206 | box = 0.6467 | obj = 0.7340 | cls = 0.0529 | lr = 0.001000
epoch 001 | step 0460 | total = 3.9315 | box = 0.6270 | obj = 0.7441 | cls = 0.0525 | lr = 0.001000
epoch 001 | step 0480 | total = 3.9733 | box = 0.6397 | obj = 0.7201 | cls = 0.0546 | lr = 0.001000
[epoch 001 train] total = 4.1935 | box = 0.6701 | obj = 0.7567 | cls = 0.0864 | batches = 485 | time = 219.0s
[epoch 001 val] total = 3.5218 | box = 0.5350 | obj = 0.7855 | cls = 0.0614 | batches = 43 | time = 20.6s
epoch 002 | step 0001 | total = 3.8111 | box = 0.5986 | obj = 0.7644 | cls = 0.0537 | lr = 0.000994
epoch 002 | step 0020 | total = 3.8733 | box = 0.6149 | obj = 0.7459 | cls = 0.0530 | lr = 0.000994
epoch 002 | step 0040 | total = 3.8277 | box = 0.6078 | obj = 0.7362 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0060 | total = 3.9893 | box = 0.6437 | obj = 0.7190 | cls = 0.0519 | lr = 0.000994
epoch 002 | step 0080 | total = 3.9359 | box = 0.6316 | obj = 0.7261 | cls = 0.0519 | lr = 0.000994
epoch 002 | step 0100 | total = 3.8191 | box = 0.6077 | obj = 0.7267 | cls = 0.0537 | lr = 0.000994
epoch 002 | step 0120 | total = 3.7589 | box = 0.5933 | obj = 0.7391 | cls = 0.0532 | lr = 0.000994
epoch 002 | step 0140 | total = 3.7606 | box = 0.5939 | obj = 0.7381 | cls = 0.0531 | lr = 0.000994
epoch 002 | step 0160 | total = 3.8562 | box = 0.6145 | obj = 0.7316 | cls = 0.0522 | lr = 0.000994
epoch 002 | step 0180 | total = 3.8185 | box = 0.6091 | obj = 0.7204 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0200 | total = 3.8036 | box = 0.6046 | obj = 0.7289 | cls = 0.0518 | lr = 0.000994
epoch 002 | step 0220 | total = 3.6457 | box = 0.5685 | obj = 0.7511 | cls = 0.0518 | lr = 0.000994
epoch 002 | step 0240 | total = 3.7839 | box = 0.6022 | obj = 0.7225 | cls = 0.0503 | lr = 0.000994
epoch 002 | step 0260 | total = 3.7812 | box = 0.6046 | obj = 0.7083 | cls = 0.0499 | lr = 0.000994
epoch 002 | step 0280 | total = 3.7968 | box = 0.6070 | obj = 0.7095 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0300 | total = 3.6340 | box = 0.5679 | obj = 0.7411 | cls = 0.0536 | lr = 0.000994
epoch 002 | step 0320 | total = 3.6799 | box = 0.5777 | obj = 0.7382 | cls = 0.0530 | lr = 0.000994
epoch 002 | step 0340 | total = 3.7664 | box = 0.6000 | obj = 0.7164 | cls = 0.0498 | lr = 0.000994
epoch 002 | step 0360 | total = 3.6567 | box = 0.5758 | obj = 0.7259 | cls = 0.0520 | lr = 0.000994
epoch 002 | step 0380 | total = 3.5856 | box = 0.5590 | obj = 0.7388 | cls = 0.0516 | lr = 0.000994
epoch 002 | step 0400 | total = 3.6308 | box = 0.5720 | obj = 0.7177 | cls = 0.0528 | lr = 0.000994
epoch 002 | step 0420 | total = 3.7019 | box = 0.5844 | obj = 0.7283 | cls = 0.0517 | lr = 0.000994
epoch 002 | step 0440 | total = 3.6942 | box = 0.5864 | obj = 0.7100 | cls = 0.0520 | lr = 0.000994
epoch 002 | step 0460 | total = 3.6749 | box = 0.5818 | obj = 0.7149 | cls = 0.0508 | lr = 0.000994
epoch 002 | step 0480 | total = 3.6423 | box = 0.5751 | obj = 0.7162 | cls = 0.0507 | lr = 0.000994
[epoch 002 train] total = 3.7730 | box = 0.5996 | obj = 0.7228 | cls = 0.0520 | batches = 485 | time = 193.2s
[epoch 002 val] total = 3.2032 | box = 0.4808 | obj = 0.7383 | cls = 0.0608 | batches = 43 | time = 14.8s
epoch 003 | step 0001 | total = 3.7174 | box = 0.5933 | obj = 0.6977 | cls = 0.0529 | lr = 0.000976
epoch 003 | step 0020 | total = 3.6559 | box = 0.5772 | obj = 0.7187 | cls = 0.0511 | lr = 0.000976
epoch 003 | step 0040 | total = 3.6400 | box = 0.5760 | obj = 0.7103 | cls = 0.0499 | lr = 0.000976
epoch 003 | step 0060 | total = 3.5117 | box = 0.5477 | obj = 0.7230 | cls = 0.0500 | lr = 0.000976
epoch 003 | step 0080 | total = 3.6871 | box = 0.5872 | obj = 0.7017 | cls = 0.0492 | lr = 0.000976
epoch 003 | step 0100 | total = 3.7141 | box = 0.5947 | obj = 0.6900 | cls = 0.0504 | lr = 0.000976
epoch 003 | step 0120 | total = 3.7112 | box = 0.5875 | obj = 0.7230 | cls = 0.0505 | lr = 0.000976
epoch 003 | step 0140 | total = 3.7042 | box = 0.5893 | obj = 0.7077 | cls = 0.0500 | lr = 0.000976
epoch 003 | step 0160 | total = 3.7009 | box = 0.5877 | obj = 0.7134 | cls = 0.0493 | lr = 0.000976
epoch 003 | step 0180 | total = 3.5795 | box = 0.5629 | obj = 0.7141 | cls = 0.0509 | lr = 0.000976
epoch 003 | step 0200 | total = 3.6080 | box = 0.5694 | obj = 0.7106 | cls = 0.0506 | lr = 0.000976
epoch 003 | step 0220 | total = 3.5891 | box = 0.5689 | obj = 0.6953 | cls = 0.0495 | lr = 0.000976
epoch 003 | step 0240 | total = 3.5086 | box = 0.5478 | obj = 0.7190 | cls = 0.0504 | lr = 0.000976
epoch 003 | step 0260 | total = 3.4935 | box = 0.5459 | obj = 0.7137 | cls = 0.0501 | lr = 0.000976
epoch 003 | step 0280 | total = 3.6021 | box = 0.5675 | obj = 0.7139 | cls = 0.0505 | lr = 0.000976
epoch 003 | step 0300 | total = 3.5483 | box = 0.5590 | obj = 0.7019 | cls = 0.0512 | lr = 0.000976
epoch 003 | step 0320 | total = 3.5950 | box = 0.5682 | obj = 0.7034 | cls = 0.0508 | lr = 0.000976
epoch 003 | step 0340 | total = 3.3885 | box = 0.5226 | obj = 0.7250 | cls = 0.0507 | lr = 0.000976
epoch 003 | step 0360 | total = 3.6244 | box = 0.5761 | obj = 0.6934 | cls = 0.0503 | lr = 0.000976
epoch 003 | step 0380 | total = 3.4218 | box = 0.5303 | obj = 0.7201 | cls = 0.0502 | lr = 0.000976
epoch 003 | step 0400 | total = 3.6183 | box = 0.5745 | obj = 0.6955 | cls = 0.0502 | lr = 0.000976
