starting yolov0 training
run id: deep_residual_three_box_v5box_softobj_clamp_20260419_171735
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 26560607
parameter trainable: 26560607
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_v5box_softobj_clamp_20260419_171735
output dir: outputs/deep_residual_three_box_v5box_softobj_clamp_20260419_171735
epoch 001 | step 0001 | total = 6.3842 | box = 0.9177 | obj = 1.0716 | cls = 0.7240 | lr = 0.001000
epoch 001 | step 0020 | total = 4.9385 | box = 0.7200 | obj = 0.9370 | cls = 0.4013 | lr = 0.001000
epoch 001 | step 0040 | total = 4.5362 | box = 0.6920 | obj = 0.9184 | cls = 0.1577 | lr = 0.001000
epoch 001 | step 0060 | total = 4.5404 | box = 0.7116 | obj = 0.9063 | cls = 0.0761 | lr = 0.001000
epoch 001 | step 0080 | total = 4.4668 | box = 0.6997 | obj = 0.9033 | cls = 0.0649 | lr = 0.001000
epoch 001 | step 0100 | total = 4.4185 | box = 0.6909 | obj = 0.9016 | cls = 0.0624 | lr = 0.001000
epoch 001 | step 0120 | total = 4.4108 | box = 0.6923 | obj = 0.8905 | cls = 0.0590 | lr = 0.001000
epoch 001 | step 0140 | total = 4.3236 | box = 0.6739 | obj = 0.8961 | cls = 0.0579 | lr = 0.001000
epoch 001 | step 0160 | total = 4.3349 | box = 0.6761 | obj = 0.8967 | cls = 0.0575 | lr = 0.001000
epoch 001 | step 0180 | total = 4.2350 | box = 0.6602 | obj = 0.8786 | cls = 0.0555 | lr = 0.001000
epoch 001 | step 0200 | total = 4.2406 | box = 0.6591 | obj = 0.8882 | cls = 0.0569 | lr = 0.001000
epoch 001 | step 0220 | total = 4.1663 | box = 0.6467 | obj = 0.8790 | cls = 0.0539 | lr = 0.001000
epoch 001 | step 0240 | total = 4.2315 | box = 0.6612 | obj = 0.8714 | cls = 0.0543 | lr = 0.001000
epoch 001 | step 0260 | total = 4.1355 | box = 0.6423 | obj = 0.8712 | cls = 0.0530 | lr = 0.001000
epoch 001 | step 0280 | total = 4.1707 | box = 0.6498 | obj = 0.8664 | cls = 0.0552 | lr = 0.001000
epoch 001 | step 0300 | total = 4.1926 | box = 0.6538 | obj = 0.8686 | cls = 0.0550 | lr = 0.001000
epoch 001 | step 0320 | total = 4.1382 | box = 0.6446 | obj = 0.8615 | cls = 0.0534 | lr = 0.001000
epoch 001 | step 0340 | total = 4.1794 | box = 0.6534 | obj = 0.8599 | cls = 0.0527 | lr = 0.001000
epoch 001 | step 0360 | total = 4.1823 | box = 0.6526 | obj = 0.8640 | cls = 0.0555 | lr = 0.001000
epoch 001 | step 0380 | total = 4.0348 | box = 0.6241 | obj = 0.8607 | cls = 0.0535 | lr = 0.001000
epoch 001 | step 0400 | total = 3.9669 | box = 0.6109 | obj = 0.8584 | cls = 0.0542 | lr = 0.001000
epoch 001 | step 0420 | total = 4.1297 | box = 0.6456 | obj = 0.8488 | cls = 0.0528 | lr = 0.001000
epoch 001 | step 0440 | total = 4.1341 | box = 0.6445 | obj = 0.8589 | cls = 0.0528 | lr = 0.001000
epoch 001 | step 0460 | total = 4.0287 | box = 0.6248 | obj = 0.8521 | cls = 0.0527 | lr = 0.001000
epoch 001 | step 0480 | total = 4.0751 | box = 0.6359 | obj = 0.8411 | cls = 0.0543 | lr = 0.001000
[epoch 001 train] total = 4.2906 | box = 0.6646 | obj = 0.8813 | cls = 0.0863 | batches = 485 | time = 218.6s
[epoch 001 val] total = 3.5675 | box = 0.5329 | obj = 0.8417 | cls = 0.0612 | batches = 43 | time = 20.2s
epoch 002 | step 0001 | total = 3.8648 | box = 0.5919 | obj = 0.8522 | cls = 0.0533 | lr = 0.000994
epoch 002 | step 0020 | total = 3.9838 | box = 0.6168 | obj = 0.8468 | cls = 0.0532 | lr = 0.000994
epoch 002 | step 0040 | total = 3.9274 | box = 0.6071 | obj = 0.8395 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0060 | total = 4.0895 | box = 0.6396 | obj = 0.8399 | cls = 0.0519 | lr = 0.000994
epoch 002 | step 0080 | total = 4.0314 | box = 0.6289 | obj = 0.8350 | cls = 0.0521 | lr = 0.000994
