starting yolov0 training
run id: deep_residual_three_box_v5box_softobj_shapematch_ignore_20260419_215025
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 26560607
parameter trainable: 26560607
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_v5box_softobj_shapematch_ignore_20260419_215025
output dir: outputs/deep_residual_three_box_v5box_softobj_shapematch_ignore_20260419_215025
epoch 001 | step 0001 | total = 6.3867 | box = 0.9190 | obj = 1.0674 | cls = 0.7242 | lr = 0.001000
epoch 001 | step 0020 | total = 4.9359 | box = 0.7270 | obj = 0.8770 | cls = 0.4237 | lr = 0.001000
epoch 001 | step 0040 | total = 4.3978 | box = 0.6910 | obj = 0.8043 | cls = 0.1386 | lr = 0.001000
epoch 001 | step 0060 | total = 4.3967 | box = 0.7124 | obj = 0.7547 | cls = 0.0803 | lr = 0.001000
epoch 001 | step 0080 | total = 4.3502 | box = 0.7070 | obj = 0.7513 | cls = 0.0638 | lr = 0.001000
epoch 001 | step 0100 | total = 4.2917 | box = 0.6946 | obj = 0.7584 | cls = 0.0603 | lr = 0.001000
epoch 001 | step 0120 | total = 4.3164 | box = 0.7011 | obj = 0.7526 | cls = 0.0582 | lr = 0.001000
epoch 001 | step 0140 | total = 4.2225 | box = 0.6830 | obj = 0.7490 | cls = 0.0585 | lr = 0.001000
epoch 001 | step 0160 | total = 4.2343 | box = 0.6855 | obj = 0.7481 | cls = 0.0585 | lr = 0.001000
epoch 001 | step 0180 | total = 4.1727 | box = 0.6725 | obj = 0.7525 | cls = 0.0575 | lr = 0.001000
epoch 001 | step 0200 | total = 4.1647 | box = 0.6697 | obj = 0.7578 | cls = 0.0582 | lr = 0.001000
epoch 001 | step 0220 | total = 4.1233 | box = 0.6606 | obj = 0.7645 | cls = 0.0558 | lr = 0.001000
epoch 001 | step 0240 | total = 4.1507 | box = 0.6701 | obj = 0.7460 | cls = 0.0540 | lr = 0.001000
epoch 001 | step 0260 | total = 4.0598 | box = 0.6506 | obj = 0.7514 | cls = 0.0552 | lr = 0.001000
epoch 001 | step 0280 | total = 4.0887 | box = 0.6570 | obj = 0.7470 | cls = 0.0569 | lr = 0.001000
epoch 001 | step 0300 | total = 4.0894 | box = 0.6591 | obj = 0.7385 | cls = 0.0555 | lr = 0.001000
epoch 001 | step 0320 | total = 4.0360 | box = 0.6484 | obj = 0.7393 | cls = 0.0548 | lr = 0.001000
epoch 001 | step 0340 | total = 4.0557 | box = 0.6524 | obj = 0.7403 | cls = 0.0536 | lr = 0.001000
epoch 001 | step 0360 | total = 4.0631 | box = 0.6558 | obj = 0.7276 | cls = 0.0565 | lr = 0.001000
epoch 001 | step 0380 | total = 3.9189 | box = 0.6230 | obj = 0.7494 | cls = 0.0545 | lr = 0.001000
epoch 001 | step 0400 | total = 3.8830 | box = 0.6134 | obj = 0.7611 | cls = 0.0548 | lr = 0.001000
epoch 001 | step 0420 | total = 3.9764 | box = 0.6412 | obj = 0.7170 | cls = 0.0535 | lr = 0.001000
epoch 001 | step 0440 | total = 3.9922 | box = 0.6413 | obj = 0.7324 | cls = 0.0534 | lr = 0.001000
epoch 001 | step 0460 | total = 3.9547 | box = 0.6302 | obj = 0.7503 | cls = 0.0533 | lr = 0.001000
epoch 001 | step 0480 | total = 3.9700 | box = 0.6384 | obj = 0.7230 | cls = 0.0549 | lr = 0.001000
[epoch 001 train] total = 4.1936 | box = 0.6694 | obj = 0.7595 | cls = 0.0869 | batches = 485 | time = 220.5s
[epoch 001 val] total = 3.5338 | box = 0.5348 | obj = 0.7975 | cls = 0.0622 | batches = 43 | time = 23.2s
