starting yolov0 training
run id: deep_residual_three_box_v5box_softobj_shapematch_tight_20260419_201922
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 26560607
parameter trainable: 26560607
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_v5box_softobj_shapematch_tight_20260419_201922
output dir: outputs/deep_residual_three_box_v5box_softobj_shapematch_tight_20260419_201922
epoch 001 | step 0001 | total = 6.3869 | box = 0.9190 | obj = 1.0675 | cls = 0.7242 | lr = 0.001000
epoch 001 | step 0020 | total = 4.8808 | box = 0.7333 | obj = 0.8504 | cls = 0.3640 | lr = 0.001000
epoch 001 | step 0040 | total = 4.3723 | box = 0.6949 | obj = 0.7869 | cls = 0.1107 | lr = 0.001000
epoch 001 | step 0060 | total = 4.3959 | box = 0.7133 | obj = 0.7574 | cls = 0.0719 | lr = 0.001000
epoch 001 | step 0080 | total = 4.3340 | box = 0.7028 | obj = 0.7574 | cls = 0.0627 | lr = 0.001000
epoch 001 | step 0100 | total = 4.2735 | box = 0.6909 | obj = 0.7603 | cls = 0.0589 | lr = 0.001000
epoch 001 | step 0120 | total = 4.2818 | box = 0.6938 | obj = 0.7548 | cls = 0.0580 | lr = 0.001000
epoch 001 | step 0140 | total = 4.1831 | box = 0.6761 | obj = 0.7459 | cls = 0.0569 | lr = 0.001000
epoch 001 | step 0160 | total = 4.2026 | box = 0.6806 | obj = 0.7426 | cls = 0.0567 | lr = 0.001000
epoch 001 | step 0180 | total = 4.0926 | box = 0.6580 | obj = 0.7471 | cls = 0.0555 | lr = 0.001000
epoch 001 | step 0200 | total = 4.1002 | box = 0.6575 | obj = 0.7562 | cls = 0.0564 | lr = 0.001000
epoch 001 | step 0220 | total = 4.0455 | box = 0.6450 | obj = 0.7664 | cls = 0.0541 | lr = 0.001000
epoch 001 | step 0240 | total = 4.0826 | box = 0.6563 | obj = 0.7471 | cls = 0.0538 | lr = 0.001000
epoch 001 | step 0260 | total = 3.9842 | box = 0.6346 | obj = 0.7571 | cls = 0.0541 | lr = 0.001000
epoch 001 | step 0280 | total = 4.0344 | box = 0.6465 | obj = 0.7465 | cls = 0.0554 | lr = 0.001000
epoch 001 | step 0300 | total = 4.0329 | box = 0.6475 | obj = 0.7403 | cls = 0.0551 | lr = 0.001000
epoch 001 | step 0320 | total = 4.0107 | box = 0.6435 | obj = 0.7394 | cls = 0.0538 | lr = 0.001000
epoch 001 | step 0340 | total = 4.0194 | box = 0.6434 | obj = 0.7496 | cls = 0.0530 | lr = 0.001000
epoch 001 | step 0360 | total = 4.0157 | box = 0.6458 | obj = 0.7308 | cls = 0.0561 | lr = 0.001000
epoch 001 | step 0380 | total = 3.8660 | box = 0.6123 | obj = 0.7509 | cls = 0.0537 | lr = 0.001000
epoch 001 | step 0400 | total = 3.8685 | box = 0.6101 | obj = 0.7636 | cls = 0.0545 | lr = 0.001000
epoch 001 | step 0420 | total = 3.9855 | box = 0.6413 | obj = 0.7255 | cls = 0.0533 | lr = 0.001000
epoch 001 | step 0440 | total = 3.9767 | box = 0.6377 | obj = 0.7350 | cls = 0.0530 | lr = 0.001000
epoch 001 | step 0460 | total = 3.9137 | box = 0.6227 | obj = 0.7475 | cls = 0.0528 | lr = 0.001000
epoch 001 | step 0480 | total = 3.9254 | box = 0.6286 | obj = 0.7281 | cls = 0.0543 | lr = 0.001000
[epoch 001 train] total = 4.1577 | box = 0.6629 | obj = 0.7592 | cls = 0.0841 | batches = 485 | time = 220.1s
[epoch 001 val] total = 3.5059 | box = 0.5336 | obj = 0.7761 | cls = 0.0620 | batches = 43 | time = 21.5s
epoch 002 | step 0001 | total = 3.7562 | box = 0.5881 | obj = 0.7615 | cls = 0.0542 | lr = 0.000994
epoch 002 | step 0020 | total = 3.8562 | box = 0.6119 | obj = 0.7436 | cls = 0.0532 | lr = 0.000994
epoch 002 | step 0040 | total = 3.8028 | box = 0.6034 | obj = 0.7336 | cls = 0.0523 | lr = 0.000994
epoch 002 | step 0060 | total = 3.9392 | box = 0.6341 | obj = 0.7172 | cls = 0.0514 | lr = 0.000994
epoch 002 | step 0080 | total = 3.8951 | box = 0.6229 | obj = 0.7289 | cls = 0.0516 | lr = 0.000994
epoch 002 | step 0100 | total = 3.7806 | box = 0.5976 | obj = 0.7384 | cls = 0.0541 | lr = 0.000994
epoch 002 | step 0120 | total = 3.7168 | box = 0.5852 | obj = 0.7376 | cls = 0.0529 | lr = 0.000994
epoch 002 | step 0140 | total = 3.7409 | box = 0.5884 | obj = 0.7458 | cls = 0.0533 | lr = 0.000994
epoch 002 | step 0160 | total = 3.8234 | box = 0.6070 | obj = 0.7357 | cls = 0.0526 | lr = 0.000994
epoch 002 | step 0180 | total = 3.8089 | box = 0.6064 | obj = 0.7243 | cls = 0.0526 | lr = 0.000994
epoch 002 | step 0200 | total = 3.7858 | box = 0.5992 | obj = 0.7385 | cls = 0.0515 | lr = 0.000994
epoch 002 | step 0220 | total = 3.6412 | box = 0.5683 | obj = 0.7474 | cls = 0.0522 | lr = 0.000994
epoch 002 | step 0240 | total = 3.7430 | box = 0.5928 | obj = 0.7285 | cls = 0.0504 | lr = 0.000994
epoch 002 | step 0260 | total = 3.7731 | box = 0.6014 | obj = 0.7162 | cls = 0.0501 | lr = 0.000994
epoch 002 | step 0280 | total = 3.7632 | box = 0.5996 | obj = 0.7130 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0300 | total = 3.6181 | box = 0.5651 | obj = 0.7389 | cls = 0.0536 | lr = 0.000994
epoch 002 | step 0320 | total = 3.6643 | box = 0.5759 | obj = 0.7317 | cls = 0.0529 | lr = 0.000994
epoch 002 | step 0340 | total = 3.7434 | box = 0.5942 | obj = 0.7223 | cls = 0.0500 | lr = 0.000994
epoch 002 | step 0360 | total = 3.6362 | box = 0.5714 | obj = 0.7269 | cls = 0.0522 | lr = 0.000994
epoch 002 | step 0380 | total = 3.5902 | box = 0.5590 | obj = 0.7439 | cls = 0.0515 | lr = 0.000994
epoch 002 | step 0400 | total = 3.5997 | box = 0.5647 | obj = 0.7236 | cls = 0.0528 | lr = 0.000994
epoch 002 | step 0420 | total = 3.6742 | box = 0.5778 | obj = 0.7328 | cls = 0.0523 | lr = 0.000994
epoch 002 | step 0440 | total = 3.6628 | box = 0.5784 | obj = 0.7184 | cls = 0.0521 | lr = 0.000994
epoch 002 | step 0460 | total = 3.6830 | box = 0.5822 | obj = 0.7208 | cls = 0.0511 | lr = 0.000994
epoch 002 | step 0480 | total = 3.6561 | box = 0.5779 | obj = 0.7164 | cls = 0.0503 | lr = 0.000994
[epoch 002 train] total = 3.7497 | box = 0.5942 | obj = 0.7264 | cls = 0.0521 | batches = 485 | time = 193.6s
[epoch 002 val] total = 3.2417 | box = 0.4872 | obj = 0.7443 | cls = 0.0614 | batches = 43 | time = 15.1s
epoch 003 | step 0001 | total = 3.7072 | box = 0.5898 | obj = 0.7050 | cls = 0.0531 | lr = 0.000976
epoch 003 | step 0020 | total = 3.6621 | box = 0.5788 | obj = 0.7175 | cls = 0.0507 | lr = 0.000976
epoch 003 | step 0040 | total = 3.6234 | box = 0.5714 | obj = 0.7158 | cls = 0.0505 | lr = 0.000976
epoch 003 | step 0060 | total = 3.5087 | box = 0.5454 | obj = 0.7312 | cls = 0.0503 | lr = 0.000976
epoch 003 | step 0080 | total = 3.6552 | box = 0.5801 | obj = 0.7056 | cls = 0.0492 | lr = 0.000976
epoch 003 | step 0100 | total = 3.6846 | box = 0.5877 | obj = 0.6953 | cls = 0.0507 | lr = 0.000976
epoch 003 | step 0120 | total = 3.6653 | box = 0.5787 | obj = 0.7215 | cls = 0.0505 | lr = 0.000976
epoch 003 | step 0140 | total = 3.6786 | box = 0.5821 | obj = 0.7182 | cls = 0.0500 | lr = 0.000976
epoch 003 | step 0160 | total = 3.6738 | box = 0.5816 | obj = 0.7168 | cls = 0.0492 | lr = 0.000976
epoch 003 | step 0180 | total = 3.5599 | box = 0.5591 | obj = 0.7133 | cls = 0.0513 | lr = 0.000976
epoch 003 | step 0200 | total = 3.6253 | box = 0.5720 | obj = 0.7148 | cls = 0.0505 | lr = 0.000976
