starting yolov0 training
run id: deep_residual_three_box_v5box_softobj_shapematch_20260419_184314
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 26560607
parameter trainable: 26560607
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_v5box_softobj_shapematch_20260419_184314
output dir: outputs/deep_residual_three_box_v5box_softobj_shapematch_20260419_184314
epoch 001 | step 0001 | total = 6.3513 | box = 0.9109 | obj = 1.0737 | cls = 0.7232 | lr = 0.001000
epoch 001 | step 0020 | total = 4.9032 | box = 0.7242 | obj = 0.9296 | cls = 0.3527 | lr = 0.001000
epoch 001 | step 0040 | total = 4.4544 | box = 0.6868 | obj = 0.9095 | cls = 0.1109 | lr = 0.001000
epoch 001 | step 0060 | total = 4.4690 | box = 0.6985 | obj = 0.9028 | cls = 0.0738 | lr = 0.001000
epoch 001 | step 0080 | total = 4.4172 | box = 0.6927 | obj = 0.8908 | cls = 0.0630 | lr = 0.001000
epoch 001 | step 0100 | total = 4.3242 | box = 0.6753 | obj = 0.8872 | cls = 0.0604 | lr = 0.001000
epoch 001 | step 0120 | total = 4.3069 | box = 0.6731 | obj = 0.8841 | cls = 0.0571 | lr = 0.001000
epoch 001 | step 0140 | total = 4.1870 | box = 0.6493 | obj = 0.8829 | cls = 0.0575 | lr = 0.001000
epoch 001 | step 0160 | total = 4.2645 | box = 0.6663 | obj = 0.8748 | cls = 0.0582 | lr = 0.001000
epoch 001 | step 0180 | total = 4.1022 | box = 0.6354 | obj = 0.8699 | cls = 0.0554 | lr = 0.001000
epoch 001 | step 0200 | total = 4.1224 | box = 0.6366 | obj = 0.8826 | cls = 0.0570 | lr = 0.001000
epoch 001 | step 0220 | total = 4.0970 | box = 0.6331 | obj = 0.8766 | cls = 0.0552 | lr = 0.001000
epoch 001 | step 0240 | total = 4.1286 | box = 0.6428 | obj = 0.8607 | cls = 0.0540 | lr = 0.001000
epoch 001 | step 0260 | total = 4.0026 | box = 0.6168 | obj = 0.8648 | cls = 0.0540 | lr = 0.001000
epoch 001 | step 0280 | total = 4.0295 | box = 0.6230 | obj = 0.8583 | cls = 0.0562 | lr = 0.001000
epoch 001 | step 0300 | total = 4.0914 | box = 0.6347 | obj = 0.8618 | cls = 0.0559 | lr = 0.001000
epoch 001 | step 0320 | total = 4.0136 | box = 0.6209 | obj = 0.8556 | cls = 0.0534 | lr = 0.001000
epoch 001 | step 0340 | total = 3.9802 | box = 0.6138 | obj = 0.8579 | cls = 0.0531 | lr = 0.001000
epoch 001 | step 0360 | total = 4.0033 | box = 0.6186 | obj = 0.8541 | cls = 0.0562 | lr = 0.001000
epoch 001 | step 0380 | total = 3.8257 | box = 0.5841 | obj = 0.8506 | cls = 0.0545 | lr = 0.001000
epoch 001 | step 0400 | total = 3.8715 | box = 0.5922 | obj = 0.8562 | cls = 0.0544 | lr = 0.001000
epoch 001 | step 0420 | total = 3.9421 | box = 0.6090 | obj = 0.8435 | cls = 0.0537 | lr = 0.001000
epoch 001 | step 0440 | total = 3.9590 | box = 0.6114 | obj = 0.8492 | cls = 0.0528 | lr = 0.001000
epoch 001 | step 0460 | total = 3.9137 | box = 0.6026 | obj = 0.8473 | cls = 0.0532 | lr = 0.001000
epoch 001 | step 0480 | total = 3.9217 | box = 0.6046 | obj = 0.8441 | cls = 0.0544 | lr = 0.001000
[epoch 001 train] total = 4.1769 | box = 0.6441 | obj = 0.8731 | cls = 0.0832 | batches = 485 | time = 214.1s
[epoch 001 val] total = 3.5067 | box = 0.5220 | obj = 0.8350 | cls = 0.0619 | batches = 43 | time = 20.3s
epoch 002 | step 0001 | total = 3.7065 | box = 0.5621 | obj = 0.8426 | cls = 0.0535 | lr = 0.000994
epoch 002 | step 0020 | total = 3.8114 | box = 0.5830 | obj = 0.8430 | cls = 0.0536 | lr = 0.000994
epoch 002 | step 0040 | total = 3.7922 | box = 0.5798 | obj = 0.8402 | cls = 0.0529 | lr = 0.000994
epoch 002 | step 0060 | total = 3.8952 | box = 0.6011 | obj = 0.8375 | cls = 0.0522 | lr = 0.000994
epoch 002 | step 0080 | total = 3.8706 | box = 0.5968 | obj = 0.8348 | cls = 0.0518 | lr = 0.000994
epoch 002 | step 0100 | total = 3.7695 | box = 0.5767 | obj = 0.8315 | cls = 0.0544 | lr = 0.000994
epoch 002 | step 0120 | total = 3.6735 | box = 0.5579 | obj = 0.8306 | cls = 0.0533 | lr = 0.000994
epoch 002 | step 0140 | total = 3.7346 | box = 0.5670 | obj = 0.8458 | cls = 0.0536 | lr = 0.000994
epoch 002 | step 0160 | total = 3.7891 | box = 0.5812 | obj = 0.8302 | cls = 0.0531 | lr = 0.000994
epoch 002 | step 0180 | total = 3.7415 | box = 0.5711 | obj = 0.8323 | cls = 0.0535 | lr = 0.000994
epoch 002 | step 0200 | total = 3.7409 | box = 0.5717 | obj = 0.8300 | cls = 0.0523 | lr = 0.000994
epoch 002 | step 0220 | total = 3.6027 | box = 0.5439 | obj = 0.8309 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0240 | total = 3.6984 | box = 0.5645 | obj = 0.8244 | cls = 0.0515 | lr = 0.000994
epoch 002 | step 0260 | total = 3.7473 | box = 0.5745 | obj = 0.8245 | cls = 0.0505 | lr = 0.000994
epoch 002 | step 0280 | total = 3.7450 | box = 0.5741 | obj = 0.8212 | cls = 0.0531 | lr = 0.000994
epoch 002 | step 0300 | total = 3.5774 | box = 0.5382 | obj = 0.8327 | cls = 0.0538 | lr = 0.000994
epoch 002 | step 0320 | total = 3.6317 | box = 0.5505 | obj = 0.8257 | cls = 0.0532 | lr = 0.000994
epoch 002 | step 0340 | total = 3.7117 | box = 0.5675 | obj = 0.8237 | cls = 0.0505 | lr = 0.000994
epoch 002 | step 0360 | total = 3.5924 | box = 0.5435 | obj = 0.8227 | cls = 0.0524 | lr = 0.000994
epoch 002 | step 0380 | total = 3.5227 | box = 0.5285 | obj = 0.8279 | cls = 0.0524 | lr = 0.000994
epoch 002 | step 0400 | total = 3.6066 | box = 0.5481 | obj = 0.8130 | cls = 0.0533 | lr = 0.000994
