starting yolov0 training
run id: deep_residual_three_box_v5box_softobj_20260419_135531
device: cuda
train dataset length: 124004
val dataset length: 10823
model output shape: (1, 10, 10, 255)
parameter total: 26560607
parameter trainable: 26560607
gpu count: 8
tensorboard dir: runs/deep_residual_three_box_v5box_softobj_20260419_135531
output dir: outputs/deep_residual_three_box_v5box_softobj_20260419_135531
epoch 001 | step 0001 | total = 6.3592 | box = 0.9156 | obj = 1.0572 | cls = 0.7241 | lr = 0.001000
epoch 001 | step 0020 | total = 4.7783 | box = 0.6999 | obj = 0.8773 | cls = 0.4015 | lr = 0.001000
epoch 001 | step 0040 | total = 4.2697 | box = 0.6638 | obj = 0.8159 | cls = 0.1349 | lr = 0.001000
epoch 001 | step 0060 | total = 4.2536 | box = 0.6772 | obj = 0.7803 | cls = 0.0875 | lr = 0.001000
epoch 001 | step 0080 | total = 4.2291 | box = 0.6771 | obj = 0.7775 | cls = 0.0660 | lr = 0.001000
epoch 001 | step 0100 | total = 4.1799 | box = 0.6685 | obj = 0.7750 | cls = 0.0625 | lr = 0.001000
epoch 001 | step 0120 | total = 4.2220 | box = 0.6776 | obj = 0.7732 | cls = 0.0608 | lr = 0.001000
epoch 001 | step 0140 | total = 4.1331 | box = 0.6634 | obj = 0.7574 | cls = 0.0587 | lr = 0.001000
epoch 001 | step 0160 | total = 4.1494 | box = 0.6645 | obj = 0.7679 | cls = 0.0592 | lr = 0.001000
epoch 001 | step 0180 | total = 4.0974 | box = 0.6545 | obj = 0.7688 | cls = 0.0562 | lr = 0.001000
epoch 001 | step 0200 | total = 4.0903 | box = 0.6536 | obj = 0.7650 | cls = 0.0570 | lr = 0.001000
epoch 001 | step 0220 | total = 4.0209 | box = 0.6355 | obj = 0.7887 | cls = 0.0548 | lr = 0.001000
epoch 001 | step 0240 | total = 4.0426 | box = 0.6459 | obj = 0.7600 | cls = 0.0533 | lr = 0.001000
epoch 001 | step 0260 | total = 3.9600 | box = 0.6290 | obj = 0.7610 | cls = 0.0543 | lr = 0.001000
epoch 001 | step 0280 | total = 3.9326 | box = 0.6214 | obj = 0.7698 | cls = 0.0559 | lr = 0.001000
epoch 001 | step 0300 | total = 4.0200 | box = 0.6417 | obj = 0.7559 | cls = 0.0557 | lr = 0.001000
epoch 001 | step 0320 | total = 3.9503 | box = 0.6282 | obj = 0.7552 | cls = 0.0539 | lr = 0.001000
epoch 001 | step 0340 | total = 3.9497 | box = 0.6261 | obj = 0.7656 | cls = 0.0534 | lr = 0.001000
epoch 001 | step 0360 | total = 3.9194 | box = 0.6229 | obj = 0.7490 | cls = 0.0559 | lr = 0.001000
epoch 001 | step 0380 | total = 3.8165 | box = 0.5995 | obj = 0.7648 | cls = 0.0544 | lr = 0.001000
epoch 001 | step 0400 | total = 3.8343 | box = 0.6006 | obj = 0.7768 | cls = 0.0547 | lr = 0.001000
epoch 001 | step 0420 | total = 3.8909 | box = 0.6198 | obj = 0.7391 | cls = 0.0529 | lr = 0.001000
epoch 001 | step 0440 | total = 3.8933 | box = 0.6157 | obj = 0.7624 | cls = 0.0526 | lr = 0.001000
epoch 001 | step 0460 | total = 3.8511 | box = 0.6066 | obj = 0.7646 | cls = 0.0534 | lr = 0.001000
epoch 001 | step 0480 | total = 3.8681 | box = 0.6137 | obj = 0.7453 | cls = 0.0545 | lr = 0.001000
[epoch 001 train] total = 4.0915 | box = 0.6451 | obj = 0.7787 | cls = 0.0873 | batches = 485 | time = 210.9s
[epoch 001 val] total = 3.4674 | box = 0.5245 | obj = 0.7838 | cls = 0.0612 | batches = 43 | time = 19.0s
epoch 002 | step 0001 | total = 3.7268 | box = 0.5804 | obj = 0.7709 | cls = 0.0539 | lr = 0.000994
epoch 002 | step 0020 | total = 3.7970 | box = 0.5953 | obj = 0.7669 | cls = 0.0535 | lr = 0.000994
epoch 002 | step 0040 | total = 3.7398 | box = 0.5857 | obj = 0.7586 | cls = 0.0525 | lr = 0.000994
epoch 002 | step 0060 | total = 3.8823 | box = 0.6185 | obj = 0.7379 | cls = 0.0521 | lr = 0.000994
epoch 002 | step 0080 | total = 3.8280 | box = 0.6058 | obj = 0.7472 | cls = 0.0520 | lr = 0.000994
epoch 002 | step 0100 | total = 3.7306 | box = 0.5843 | obj = 0.7550 | cls = 0.0541 | lr = 0.000994
epoch 002 | step 0120 | total = 3.6793 | box = 0.5720 | obj = 0.7662 | cls = 0.0530 | lr = 0.000994
epoch 002 | step 0140 | total = 3.6813 | box = 0.5753 | obj = 0.7509 | cls = 0.0537 | lr = 0.000994
epoch 002 | step 0160 | total = 3.7532 | box = 0.5889 | obj = 0.7562 | cls = 0.0526 | lr = 0.000994
epoch 002 | step 0180 | total = 3.7325 | box = 0.5871 | obj = 0.7440 | cls = 0.0532 | lr = 0.000994
epoch 002 | step 0200 | total = 3.7163 | box = 0.5823 | obj = 0.7524 | cls = 0.0523 | lr = 0.000994
epoch 002 | step 0220 | total = 3.6076 | box = 0.5590 | obj = 0.7605 | cls = 0.0522 | lr = 0.000994
epoch 002 | step 0240 | total = 3.6591 | box = 0.5721 | obj = 0.7470 | cls = 0.0515 | lr = 0.000994
epoch 002 | step 0260 | total = 3.6876 | box = 0.5797 | obj = 0.7386 | cls = 0.0504 | lr = 0.000994
epoch 002 | step 0280 | total = 3.7327 | box = 0.5902 | obj = 0.7293 | cls = 0.0526 | lr = 0.000994
epoch 002 | step 0300 | total = 3.5527 | box = 0.5487 | obj = 0.7550 | cls = 0.0541 | lr = 0.000994
epoch 002 | step 0320 | total = 3.5985 | box = 0.5587 | obj = 0.7518 | cls = 0.0530 | lr = 0.000994
epoch 002 | step 0340 | total = 3.6791 | box = 0.5787 | obj = 0.7356 | cls = 0.0502 | lr = 0.000994
epoch 002 | step 0360 | total = 3.5213 | box = 0.5443 | obj = 0.7473 | cls = 0.0523 | lr = 0.000994
epoch 002 | step 0380 | total = 3.5492 | box = 0.5485 | obj = 0.7545 | cls = 0.0523 | lr = 0.000994
epoch 002 | step 0400 | total = 3.5807 | box = 0.5593 | obj = 0.7316 | cls = 0.0528 | lr = 0.000994
epoch 002 | step 0420 | total = 3.6121 | box = 0.5614 | obj = 0.7523 | cls = 0.0529 | lr = 0.000994
epoch 002 | step 0440 | total = 3.5557 | box = 0.5522 | obj = 0.7423 | cls = 0.0523 | lr = 0.000994
epoch 002 | step 0460 | total = 3.5797 | box = 0.5579 | obj = 0.7390 | cls = 0.0510 | lr = 0.000994
epoch 002 | step 0480 | total = 3.5639 | box = 0.5563 | obj = 0.7317 | cls = 0.0509 | lr = 0.000994
[epoch 002 train] total = 3.6750 | box = 0.5753 | obj = 0.7460 | cls = 0.0524 | batches = 485 | time = 201.9s
[epoch 002 val] total = 3.1354 | box = 0.4640 | obj = 0.7546 | cls = 0.0608 | batches = 43 | time = 14.7s
epoch 003 | step 0001 | total = 3.6339 | box = 0.5707 | obj = 0.7267 | cls = 0.0536 | lr = 0.000976
epoch 003 | step 0020 | total = 3.5459 | box = 0.5526 | obj = 0.7316 | cls = 0.0513 | lr = 0.000976
epoch 003 | step 0040 | total = 3.5010 | box = 0.5435 | obj = 0.7326 | cls = 0.0506 | lr = 0.000976
epoch 003 | step 0060 | total = 3.4008 | box = 0.5210 | obj = 0.7456 | cls = 0.0505 | lr = 0.000976
epoch 003 | step 0080 | total = 3.5632 | box = 0.5567 | obj = 0.7302 | cls = 0.0498 | lr = 0.000976
epoch 003 | step 0100 | total = 3.5706 | box = 0.5579 | obj = 0.7301 | cls = 0.0512 | lr = 0.000976
epoch 003 | step 0120 | total = 3.5629 | box = 0.5533 | obj = 0.7456 | cls = 0.0507 | lr = 0.000976
epoch 003 | step 0140 | total = 3.5696 | box = 0.5573 | obj = 0.7323 | cls = 0.0508 | lr = 0.000976
epoch 003 | step 0160 | total = 3.5643 | box = 0.5546 | obj = 0.7417 | cls = 0.0496 | lr = 0.000976
epoch 003 | step 0180 | total = 3.4273 | box = 0.5281 | obj = 0.7360 | cls = 0.0506 | lr = 0.000976
epoch 003 | step 0200 | total = 3.5220 | box = 0.5479 | obj = 0.7318 | cls = 0.0507 | lr = 0.000976
epoch 003 | step 0220 | total = 3.5154 | box = 0.5469 | obj = 0.7315 | cls = 0.0496 | lr = 0.000976
epoch 003 | step 0240 | total = 3.4172 | box = 0.5247 | obj = 0.7432 | cls = 0.0506 | lr = 0.000976
epoch 003 | step 0260 | total = 3.3734 | box = 0.5189 | obj = 0.7282 | cls = 0.0504 | lr = 0.000976
epoch 003 | step 0280 | total = 3.4864 | box = 0.5391 | obj = 0.7397 | cls = 0.0511 | lr = 0.000976
epoch 003 | step 0300 | total = 3.4832 | box = 0.5414 | obj = 0.7242 | cls = 0.0522 | lr = 0.000976
epoch 003 | step 0320 | total = 3.4891 | box = 0.5427 | obj = 0.7248 | cls = 0.0507 | lr = 0.000976
epoch 003 | step 0340 | total = 3.3086 | box = 0.5023 | obj = 0.7465 | cls = 0.0508 | lr = 0.000976
epoch 003 | step 0360 | total = 3.4690 | box = 0.5392 | obj = 0.7225 | cls = 0.0503 | lr = 0.000976
epoch 003 | step 0380 | total = 3.3241 | box = 0.5089 | obj = 0.7293 | cls = 0.0505 | lr = 0.000976
epoch 003 | step 0400 | total = 3.4574 | box = 0.5368 | obj = 0.7230 | cls = 0.0504 | lr = 0.000976
epoch 003 | step 0420 | total = 3.4164 | box = 0.5302 | obj = 0.7147 | cls = 0.0509 | lr = 0.000976
epoch 003 | step 0440 | total = 3.3837 | box = 0.5202 | obj = 0.7324 | cls = 0.0502 | lr = 0.000976
epoch 003 | step 0460 | total = 3.3632 | box = 0.5172 | obj = 0.7255 | cls = 0.0516 | lr = 0.000976
epoch 003 | step 0480 | total = 3.2975 | box = 0.5023 | obj = 0.7351 | cls = 0.0509 | lr = 0.000976
[epoch 003 train] total = 3.4600 | box = 0.5353 | obj = 0.7327 | cls = 0.0507 | batches = 485 | time = 200.9s
[epoch 003 val] total = 2.9825 | box = 0.4364 | obj = 0.7403 | cls = 0.0603 | batches = 43 | time = 13.9s
